Date and Time,Time (s),Temperature (C),Position (m)
05/18/2020 4:25:39 PM,19960,80.1,0.186
05/18/2020 4:25:49 PM,19970,80.1,0.186
05/18/2020 4:25:59 PM,19980,80.3,0.184
05/18/2020 4:26:09 PM,19990,80.3,0.183
05/18/2020 4:26:19 PM,20000,80.3,0.183
05/18/2020 4:26:29 PM,20010,80.2,0.195
05/18/2020 4:26:39 PM,20020,80.2,0.184
05/18/2020 4:26:49 PM,20030,80.3,0.184
05/18/2020 4:26:59 PM,20040,80.2,0.184
05/18/2020 4:27:09 PM,20050,80.1,0.179
05/18/2020 4:27:19 PM,20060,80.1,0.183
05/18/2020 4:27:29 PM,20070,80,0.185
05/18/2020 4:27:39 PM,20080,80.1,0.184
05/18/2020 4:27:49 PM,20090,80.1,0.183
05/18/2020 4:27:59 PM,20100,79.9,0.183
05/18/2020 4:28:09 PM,20110,79.8,0.187
05/18/2020 4:28:19 PM,20120,79.9,0.19
05/18/2020 4:28:29 PM,20130,80,0.185
05/18/2020 4:28:39 PM,20140,79.9,0.182
05/18/2020 4:28:49 PM,20150,80,0.183
05/18/2020 4:28:59 PM,20160,80,0.185
05/18/2020 4:29:09 PM,20170,80.2,0.18
05/18/2020 4:29:19 PM,20180,80.1,0.189
05/18/2020 4:29:29 PM,20190,80,0.188
05/18/2020 4:29:39 PM,20200,80.1,0.18
05/18/2020 4:29:49 PM,20210,80.1,0.186
05/18/2020 4:29:59 PM,20220,80.2,0.183
05/18/2020 4:30:09 PM,20230,80.2,0.185
05/18/2020 4:30:19 PM,20240,80.1,0.183
05/18/2020 4:30:29 PM,20250,80.1,0.185
05/18/2020 4:30:39 PM,20260,80.2,0.187
05/18/2020 4:30:49 PM,20270,80.1,0.187
05/18/2020 4:30:59 PM,20280,79.9,0.185
05/18/2020 4:31:09 PM,20290,80,0.187
05/18/2020 4:31:19 PM,20300,79.9,0.185
05/18/2020 4:31:29 PM,20310,79.8,0.185
05/18/2020 4:31:39 PM,20320,80,0.185
05/18/2020 4:31:49 PM,20330,80,0.181
05/18/2020 4:31:59 PM,20340,79.9,0.191
05/18/2020 4:32:09 PM,20350,80,0.194
05/18/2020 4:32:19 PM,20360,80.2,0.19
05/18/2020 4:32:29 PM,20370,80.2,0.185
05/18/2020 4:32:39 PM,20380,80.1,0.18
05/18/2020 4:32:49 PM,20390,80.1,0.184
05/18/2020 4:32:59 PM,20400,80.2,0.187
05/18/2020 4:33:09 PM,20410,80.2,0.182
05/18/2020 4:33:19 PM,20420,80.2,0.184
05/18/2020 4:33:29 PM,20430,80.2,0.185
05/18/2020 4:33:39 PM,20440,80.2,0.185
05/18/2020 4:33:49 PM,20450,79.9,0.193
05/18/2020 4:33:59 PM,20460,80.1,0.178
05/18/2020 4:34:09 PM,20470,80,0.189
05/18/2020 4:34:19 PM,20480,80,0.184
05/18/2020 4:34:29 PM,20490,79.9,0.184
05/18/2020 4:34:39 PM,20500,80,0.189
05/18/2020 4:34:49 PM,20510,80,0.186
05/18/2020 4:34:59 PM,20520,80,0.185
05/18/2020 4:35:09 PM,20530,80,0.189
05/18/2020 4:35:19 PM,20540,80.2,0.188
05/18/2020 4:35:29 PM,20550,80.2,0.186
05/18/2020 4:35:39 PM,20560,80.2,0.186
05/18/2020 4:35:49 PM,20570,80.2,0.19
05/18/2020 4:35:59 PM,20580,80.3,0.191
05/18/2020 4:36:09 PM,20590,80.2,0.181
05/18/2020 4:36:19 PM,20600,80.2,0.179
05/18/2020 4:36:29 PM,20610,80.2,0.186
05/18/2020 4:36:39 PM,20620,80.2,0.183
05/18/2020 4:36:49 PM,20630,80.2,0.184
05/18/2020 4:36:59 PM,20640,80.1,0.184
05/18/2020 4:37:09 PM,20650,80.1,0.182
05/18/2020 4:37:19 PM,20660,80,0.186
05/18/2020 4:37:29 PM,20670,80,0.188
05/18/2020 4:37:39 PM,20680,80,0.191
05/18/2020 4:37:49 PM,20690,80,0.19
05/18/2020 4:37:59 PM,20700,80,0.18
05/18/2020 4:38:09 PM,20710,80,0.19
05/18/2020 4:38:19 PM,20720,80.1,0.187
05/18/2020 4:38:29 PM,20730,80.2,0.189
05/18/2020 4:38:39 PM,20740,80.3,0.185
05/18/2020 4:38:49 PM,20750,80.3,0.186
05/18/2020 4:38:59 PM,20760,80.3,0.184
05/18/2020 4:39:09 PM,20770,80.5,0.184
05/18/2020 4:39:19 PM,20780,80.3,0.182
05/18/2020 4:39:29 PM,20790,80.4,0.188
05/18/2020 4:39:39 PM,20800,80.4,0.191
05/18/2020 4:39:49 PM,20810,80.3,0.193
05/18/2020 4:39:59 PM,20820,80.4,0.188
05/18/2020 4:40:09 PM,20830,80.5,0.183
05/18/2020 4:40:19 PM,20840,80.5,0.185
05/18/2020 4:40:29 PM,20850,80.4,0.184
05/18/2020 4:40:39 PM,20860,80.4,0.184
05/18/2020 4:40:49 PM,20870,80.4,0.186
05/18/2020 4:40:59 PM,20880,80.5,0.184
05/18/2020 4:41:09 PM,20890,80.5,0.182
05/18/2020 4:41:19 PM,20900,80.2,0.18
05/18/2020 4:41:29 PM,20910,80.5,0.186
05/18/2020 4:41:39 PM,20920,80.5,0.186
05/18/2020 4:41:49 PM,20930,80.6,0.185
05/18/2020 4:41:59 PM,20940,80.8,0.185
05/18/2020 4:42:09 PM,20950,80.8,0.186
05/18/2020 4:42:19 PM,20960,80.9,0.187
05/18/2020 4:42:29 PM,20970,80.6,0.182
05/18/2020 4:42:39 PM,20980,80.9,0.182
05/18/2020 4:42:49 PM,20990,80.7,0.185
05/18/2020 4:42:59 PM,21000,80.6,0.186
05/18/2020 4:43:09 PM,21010,80.8,0.187
05/18/2020 4:43:19 PM,21020,80.7,0.189
05/18/2020 4:43:29 PM,21030,80.7,0.19
05/18/2020 4:43:39 PM,21040,80.6,0.189
05/18/2020 4:43:49 PM,21050,80.5,0.182
05/18/2020 4:43:59 PM,21060,80.5,0.185
05/18/2020 4:44:09 PM,21070,80.4,0.187
05/18/2020 4:44:19 PM,21080,80.4,0.183
05/18/2020 4:44:29 PM,21090,80.4,0.183
05/18/2020 4:44:39 PM,21100,80.5,0.185
05/18/2020 4:44:49 PM,21110,80.4,0.183
05/18/2020 4:44:59 PM,21120,80.6,0.188
05/18/2020 4:45:09 PM,21130,80.5,0.194
05/18/2020 4:45:19 PM,21140,80.4,0.193
05/18/2020 4:45:29 PM,21150,80.6,0.187
05/18/2020 4:45:39 PM,21160,80.7,0.191
05/18/2020 4:45:49 PM,21170,80.5,0.188
05/18/2020 4:45:59 PM,21180,80.6,0.2
05/18/2020 4:46:09 PM,21190,80.6,0.187
05/18/2020 4:46:19 PM,21200,80.4,0.184
05/18/2020 4:46:29 PM,21210,80.4,0.188
05/18/2020 4:46:39 PM,21220,80.5,0.191
05/18/2020 4:46:49 PM,21230,80.3,0.189
05/18/2020 4:46:59 PM,21240,80.3,0.189
05/18/2020 4:47:09 PM,21250,80.3,0.194
05/18/2020 4:47:19 PM,21260,80.2,0.192
05/18/2020 4:47:29 PM,21270,80.1,0.181
05/18/2020 4:47:39 PM,21280,80.2,0.188
05/18/2020 4:47:49 PM,21290,80.1,0.187
05/18/2020 4:47:59 PM,21300,80.3,0.19
05/18/2020 4:48:09 PM,21310,80.4,0.188
05/18/2020 4:48:19 PM,21320,80.2,0.185
05/18/2020 4:48:29 PM,21330,80.3,0.188
05/18/2020 4:48:39 PM,21340,80.3,0.186
05/18/2020 4:48:49 PM,21350,80.4,0.189
05/18/2020 4:48:59 PM,21360,80.4,0.191
05/18/2020 4:49:09 PM,21370,80.5,0.183
05/18/2020 4:49:19 PM,21380,80.3,0.189
05/18/2020 4:49:29 PM,21390,80.3,0.189
05/18/2020 4:49:39 PM,21400,80.2,0.188
05/18/2020 4:49:49 PM,21410,80.2,0.184
05/18/2020 4:49:59 PM,21420,80.3,0.191
05/18/2020 4:50:09 PM,21430,80.1,0.179
05/18/2020 4:50:19 PM,21440,79.9,0.19
05/18/2020 4:50:29 PM,21450,80.1,0.185
05/18/2020 4:50:39 PM,21460,79.9,0.191
05/18/2020 4:50:49 PM,21470,79.8,0.185
05/18/2020 4:50:59 PM,21480,80.1,0.186
05/18/2020 4:51:09 PM,21490,80.1,0.19
05/18/2020 4:51:19 PM,21500,80.1,0.193
05/18/2020 4:51:29 PM,21510,80,0.193
05/18/2020 4:51:39 PM,21520,80.2,0.19
05/18/2020 4:51:49 PM,21530,80.3,0.187
05/18/2020 4:51:59 PM,21540,80.3,0.186
05/18/2020 4:52:09 PM,21550,80.4,0.19
05/18/2020 4:52:19 PM,21560,80.2,0.183
05/18/2020 4:52:29 PM,21570,80.3,0.19
05/18/2020 4:52:39 PM,21580,80,0.187
05/18/2020 4:52:49 PM,21590,80.2,0.186
05/18/2020 4:52:59 PM,21600,80.2,0.189
05/18/2020 4:53:09 PM,21610,80.1,0.19
05/18/2020 4:53:19 PM,21620,80.1,0.186
05/18/2020 4:53:29 PM,21630,80.1,0.189
05/18/2020 4:53:39 PM,21640,80,0.183
05/18/2020 4:53:49 PM,21650,79.9,0.188
05/18/2020 4:53:59 PM,21660,80.1,0.187
05/18/2020 4:54:09 PM,21670,80.2,0.186
05/18/2020 4:54:19 PM,21680,80.1,0.193
05/18/2020 4:54:29 PM,21690,80.3,0.191
05/18/2020 4:54:39 PM,21700,80.4,0.191
05/18/2020 4:54:49 PM,21710,80.3,0.183
05/18/2020 4:54:59 PM,21720,80.2,0.185
05/18/2020 4:55:09 PM,21730,80.3,0.188
05/18/2020 4:55:19 PM,21740,80.5,0.198
05/18/2020 4:55:29 PM,21750,80.3,0.189
05/18/2020 4:55:39 PM,21760,80.4,0.197
05/18/2020 4:55:49 PM,21770,80.4,0.182
05/18/2020 4:55:59 PM,21780,80.4,0.189
05/18/2020 4:56:09 PM,21790,80.2,0.194
05/18/2020 4:56:19 PM,21800,80.2,0.188
05/18/2020 4:56:29 PM,21810,80.2,0.189
05/18/2020 4:56:39 PM,21820,80.2,0.183
05/18/2020 4:56:49 PM,21830,80,0.185
05/18/2020 4:56:59 PM,21840,80,0.192
05/18/2020 4:57:09 PM,21850,80.1,0.187
05/18/2020 4:57:19 PM,21860,80.1,0.193
05/18/2020 4:57:29 PM,21870,80,0.193
05/18/2020 4:57:39 PM,21880,80.2,0.192
05/18/2020 4:57:49 PM,21890,80.3,0.188
05/18/2020 4:57:59 PM,21900,80.2,0.185
05/18/2020 4:58:09 PM,21910,80.3,0.191
05/18/2020 4:58:19 PM,21920,80.6,0.183
05/18/2020 4:58:29 PM,21930,80.6,0.184
05/18/2020 4:58:39 PM,21940,80.6,0.184
05/18/2020 4:58:49 PM,21950,80.6,0.191
05/18/2020 4:58:59 PM,21960,80.6,0.189
05/18/2020 4:59:09 PM,21970,80.6,0.189
05/18/2020 4:59:19 PM,21980,80.6,0.182
05/18/2020 4:59:29 PM,21990,80.6,0.194
05/18/2020 4:59:39 PM,22000,80.6,0.185
05/18/2020 4:59:49 PM,22010,80.3,0.191
05/18/2020 4:59:59 PM,22020,80.5,0.191
05/18/2020 5:00:09 PM,22030,80.3,0.189
05/18/2020 5:00:19 PM,22040,80.4,0.191
05/18/2020 5:00:29 PM,22050,80.3,0.203
05/18/2020 5:00:39 PM,22060,80.4,0.193
05/18/2020 5:00:49 PM,22070,80.5,0.189
05/18/2020 5:00:59 PM,22080,80.4,0.19
05/18/2020 5:01:09 PM,22090,80.6,0.189
05/18/2020 5:01:19 PM,22100,80.7,0.19
05/18/2020 5:01:29 PM,22110,80.7,0.188
05/18/2020 5:01:39 PM,22120,80.8,0.185
05/18/2020 5:01:49 PM,22130,80.9,0.196
05/18/2020 5:01:59 PM,22140,80.9,0.195
05/18/2020 5:02:09 PM,22150,80.9,0.18
05/18/2020 5:02:19 PM,22160,80.8,0.194
05/18/2020 5:02:29 PM,22170,80.6,0.189
05/18/2020 5:02:39 PM,22180,80.8,0.185
05/18/2020 5:02:49 PM,22190,80.8,0.183
05/18/2020 5:02:59 PM,22200,80.7,0.19
05/18/2020 5:03:09 PM,22210,80.5,0.189
05/18/2020 5:03:19 PM,22220,80.6,0.19
05/18/2020 5:03:29 PM,22230,80.7,0.192
05/18/2020 5:03:39 PM,22240,80.5,0.174
05/18/2020 5:03:49 PM,22250,80.3,0.191
05/18/2020 5:03:59 PM,22260,80.5,0.193
05/18/2020 5:04:09 PM,22270,80.6,0.189
05/18/2020 5:04:19 PM,22280,80.7,0.192
05/18/2020 5:04:29 PM,22290,80.8,0.183
05/18/2020 5:04:39 PM,22300,80.6,0.19
05/18/2020 5:04:49 PM,22310,80.8,0.183
05/18/2020 5:04:59 PM,22320,80.9,0.191
05/18/2020 5:05:09 PM,22330,80.7,0.186
05/18/2020 5:05:19 PM,22340,80.7,0.188
05/18/2020 5:05:29 PM,22350,80.9,0.188
05/18/2020 5:05:39 PM,22360,80.8,0.192
05/18/2020 5:05:49 PM,22370,80.5,0.19
05/18/2020 5:05:59 PM,22380,80.7,0.187
05/18/2020 5:06:09 PM,22390,80.8,0.185
05/18/2020 5:06:19 PM,22400,80.5,0.193
05/18/2020 5:06:29 PM,22410,80.3,0.196
05/18/2020 5:06:39 PM,22420,80.5,0.193
05/18/2020 5:06:49 PM,22430,80.4,0.19
05/18/2020 5:06:59 PM,22440,80.4,0.189
05/18/2020 5:07:09 PM,22450,80.4,0.191
05/18/2020 5:07:19 PM,22460,80.5,0.189
05/18/2020 5:07:29 PM,22470,80.3,0.188
05/18/2020 5:07:39 PM,22480,80.4,0.198
05/18/2020 5:07:49 PM,22490,80.6,0.194
05/18/2020 5:07:59 PM,22500,80.5,0.195
05/18/2020 5:08:09 PM,22510,80.5,0.184
05/18/2020 5:08:19 PM,22520,80.8,0.192
05/18/2020 5:08:29 PM,22530,80.7,0.185
05/18/2020 5:08:39 PM,22540,80.5,0.193
05/18/2020 5:08:49 PM,22550,80.5,0.194
05/18/2020 5:08:59 PM,22560,80.6,0.184
05/18/2020 5:09:09 PM,22570,80.5,0.193
05/18/2020 5:09:19 PM,22580,80.3,0.191
05/18/2020 5:09:29 PM,22590,80.3,0.185
05/18/2020 5:09:39 PM,22600,80.2,0.188
05/18/2020 5:09:49 PM,22610,80.2,0.195
05/18/2020 5:09:59 PM,22620,80.2,0.195
05/18/2020 5:10:09 PM,22630,80.2,0.192
05/18/2020 5:10:19 PM,22640,80.3,0.186
05/18/2020 5:10:29 PM,22650,80.1,0.192
05/18/2020 5:10:39 PM,22660,80.3,0.184
05/18/2020 5:10:49 PM,22670,80.3,0.192
05/18/2020 5:10:59 PM,22680,80.4,0.19
05/18/2020 5:11:09 PM,22690,80.5,0.197
05/18/2020 5:11:19 PM,22700,80.6,0.19
05/18/2020 5:11:29 PM,22710,80.3,0.193
05/18/2020 5:11:39 PM,22720,80.5,0.193
05/18/2020 5:11:49 PM,22730,80.6,0.189
05/18/2020 5:11:59 PM,22740,80.6,0.2
05/18/2020 5:12:09 PM,22750,80.3,0.186
05/18/2020 5:12:19 PM,22760,80.3,0.193
05/18/2020 5:12:29 PM,22770,80.4,0.193
05/18/2020 5:12:39 PM,22780,80.3,0.193
05/18/2020 5:12:49 PM,22790,80.1,0.198
05/18/2020 5:12:59 PM,22800,80.1,0.19
