Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²)
05/18/2020 10:51:55 AM,0,59.6,0.151,,
05/18/2020 10:52:05 AM,10,59.6,0.15,-9.46E-05,
05/18/2020 10:52:15 AM,20,59.6,0.149,-2.87E-05,1.00E-05
05/18/2020 10:52:25 AM,30,59.7,0.15,1.06E-04,5.97E-06
05/18/2020 10:52:35 AM,40,59.8,0.15,1.58E-04,-1.24E-06
05/18/2020 10:52:45 AM,50,59.8,0.156,7.74E-05,-6.59E-06
05/18/2020 10:52:55 AM,60,59.9,0.153,-7.45E-05,-3.82E-06
05/18/2020 10:53:05 AM,70,60.1,0.152,-5.73E-05,1.34E-06
05/18/2020 10:53:15 AM,80,60.1,0.15,6.31E-05,2.82E-06
05/18/2020 10:53:25 AM,90,60.2,0.156,2.01E-05,1.39E-06
05/18/2020 10:53:35 AM,100,60.2,0.153,1.72E-05,2.15E-06
05/18/2020 10:53:45 AM,110,60.3,0.15,7.17E-05,1.82E-06
05/18/2020 10:53:55 AM,120,60.4,0.156,1.40E-04,-2.68E-06
05/18/2020 10:54:05 AM,130,60.5,0.156,5.73E-06,-5.97E-06
05/18/2020 10:54:15 AM,140,60.6,0.155,-7.74E-05,-4.35E-06
05/18/2020 10:54:25 AM,150,60.6,0.152,-6.88E-05,6.69E-07
05/18/2020 10:54:35 AM,160,60.7,0.156,-4.59E-05,2.53E-06
05/18/2020 10:54:45 AM,170,60.7,0.151,1.43E-05,1.62E-06
05/18/2020 10:54:55 AM,180,60.8,0.153,-8.60E-06,5.26E-07
05/18/2020 10:55:05 AM,190,60.8,0.156,-8.60E-06,1.43E-07
05/18/2020 10:55:15 AM,200,60.9,0.151,8.60E-06,-3.82E-07
05/18/2020 10:55:25 AM,210,61,0.153,5.73E-06,-2.77E-06
05/18/2020 10:55:35 AM,220,61,0.157,-4.59E-05,-3.01E-06
05/18/2020 10:55:45 AM,230,61,0.15,-1.20E-04,2.10E-06
05/18/2020 10:55:55 AM,240,60.9,0.15,-4.59E-05,7.98E-06
05/18/2020 10:56:05 AM,250,61,0.152,1.32E-04,7.45E-06
05/18/2020 10:56:15 AM,260,61,0.152,1.81E-04,-8.60E-07
05/18/2020 10:56:25 AM,270,61.1,0.156,1.00E-04,-9.22E-06
05/18/2020 10:56:35 AM,280,61.2,0.157,-6.59E-05,-9.70E-06
05/18/2020 10:56:45 AM,290,61.3,0.153,-1.75E-04,-3.11E-06
05/18/2020 10:56:55 AM,300,61.4,0.151,-1.26E-04,5.21E-06
05/18/2020 10:57:05 AM,310,61.6,0.151,-2.58E-05,8.03E-06
05/18/2020 10:57:15 AM,320,61.6,0.151,9.75E-05,4.11E-06
05/18/2020 10:57:25 AM,330,61.6,0.152,8.31E-05,-8.60E-07
05/18/2020 10:57:35 AM,340,61.6,0.157,1.15E-05,-3.15E-06
05/18/2020 10:57:45 AM,350,61.6,0.151,8.60E-06,-9.56E-07
05/18/2020 10:57:55 AM,360,61.7,0.153,-1.72E-05,5.73E-07
05/18/2020 10:58:05 AM,370,61.8,0.156,5.45E-05,-9.56E-07
05/18/2020 10:58:15 AM,380,61.8,0.15,0,-2.63E-06
05/18/2020 10:58:25 AM,390,61.9,0.157,-6.59E-05,-2.48E-06
05/18/2020 10:58:35 AM,400,61.9,0.152,-5.45E-05,9.08E-07
05/18/2020 10:58:45 AM,410,62,0.15,-4.01E-05,2.05E-06
05/18/2020 10:58:55 AM,420,62,0.153,2.87E-05,-1.19E-06
05/18/2020 10:59:05 AM,430,62,0.153,-2.58E-05,-2.25E-06
05/18/2020 10:59:15 AM,440,62,0.151,-1.40E-04,1.15E-06
05/18/2020 10:59:25 AM,450,62,0.151,-5.73E-06,5.35E-06
05/18/2020 10:59:35 AM,460,62.2,0.147,7.74E-05,5.21E-06
05/18/2020 10:59:45 AM,470,62.1,0.157,7.74E-05,1.24E-06
05/18/2020 10:59:55 AM,480,62.2,0.15,8.89E-05,-9.56E-07
05/18/2020 11:00:05 AM,490,62.3,0.153,5.73E-05,-3.54E-06
05/18/2020 11:00:15 AM,500,62.2,0.157,4.01E-05,-5.73E-06
05/18/2020 11:00:25 AM,510,62.4,0.154,-8.60E-05,-3.20E-06
05/18/2020 11:00:35 AM,520,62.4,0.151,-1.12E-04,1.86E-06
05/18/2020 11:00:45 AM,530,62.5,0.153,1.72E-05,4.25E-06
05/18/2020 11:00:55 AM,540,62.6,0.151,4.87E-05,8.12E-07
05/18/2020 11:01:05 AM,550,62.6,0.155,8.60E-06,-2.63E-06
05/18/2020 11:01:15 AM,560,62.7,0.152,-5.45E-05,-2.05E-06
05/18/2020 11:01:25 AM,570,62.8,0.152,-3.73E-05,-1.43E-06
05/18/2020 11:01:35 AM,580,62.8,0.15,-2.87E-05,-5.26E-07
05/18/2020 11:01:45 AM,590,62.8,0.154,-1.03E-04,1.91E-06
05/18/2020 11:01:55 AM,600,62.9,0.148,-2.01E-05,4.49E-06
05/18/2020 11:02:05 AM,610,62.9,0.148,6.88E-05,1.82E-06
05/18/2020 11:02:15 AM,620,62.9,0.155,6.88E-05,-4.06E-06
05/18/2020 11:02:25 AM,630,63,0.151,-8.31E-05,-4.20E-06
05/18/2020 11:02:35 AM,640,63,0.149,-1.12E-04,-4.78E-08
05/18/2020 11:02:45 AM,650,63.1,0.149,-2.87E-06,2.58E-06
05/18/2020 11:02:55 AM,660,63.1,0.15,-1.43E-05,2.34E-06
05/18/2020 11:03:05 AM,670,63.1,0.15,-2.58E-05,3.92E-06
05/18/2020 11:03:15 AM,680,63.1,0.148,5.16E-05,5.16E-06
05/18/2020 11:03:25 AM,690,63.2,0.15,1.66E-04,9.08E-07
05/18/2020 11:03:35 AM,700,63.3,0.153,1.03E-04,-5.16E-06
05/18/2020 11:03:45 AM,710,63.3,0.155,-2.29E-05,-7.21E-06
05/18/2020 11:03:55 AM,720,63.4,0.15,-6.88E-05,-4.78E-06
05/18/2020 11:04:05 AM,730,63.4,0.152,-9.46E-05,-1.62E-06
05/18/2020 11:04:15 AM,740,63.5,0.151,-1.12E-04,3.77E-06
05/18/2020 11:04:25 AM,750,63.6,0.148,-7.74E-05,8.89E-06
05/18/2020 11:04:35 AM,760,63.7,0.148,1.40E-04,7.45E-06
05/18/2020 11:04:45 AM,770,63.8,0.151,1.86E-04,-1.00E-06
05/18/2020 11:04:55 AM,780,63.8,0.156,7.17E-05,-7.98E-06
05/18/2020 11:05:05 AM,790,63.8,0.15,-6.88E-05,-6.83E-06
05/18/2020 11:05:15 AM,800,63.9,0.153,-8.31E-05,-2.15E-06
05/18/2020 11:05:25 AM,810,64,0.15,-6.88E-05,2.01E-06
05/18/2020 11:05:35 AM,820,64,0.151,-5.73E-05,4.06E-06
05/18/2020 11:05:45 AM,830,64.1,0.148,2.58E-05,4.25E-06
05/18/2020 11:05:55 AM,840,64.1,0.152,6.59E-05,1.19E-06
05/18/2020 11:06:05 AM,850,64.1,0.151,6.31E-05,-1.53E-06
05/18/2020 11:06:15 AM,860,64.2,0.152,-2.29E-05,-2.58E-06
05/18/2020 11:06:25 AM,870,64.2,0.152,2.29E-05,-3.30E-06
05/18/2020 11:06:35 AM,880,64.2,0.15,-4.87E-05,-3.82E-06
05/18/2020 11:06:45 AM,890,64.3,0.154,-1.09E-04,-7.64E-07
05/18/2020 11:06:55 AM,900,64.3,0.146,-1.20E-04,6.35E-06
05/18/2020 11:07:05 AM,910,64.3,0.149,4.87E-05,7.36E-06
05/18/2020 11:07:15 AM,920,64.3,0.148,1.75E-04,1.77E-06
05/18/2020 11:07:25 AM,930,64.3,0.155,3.73E-05,-3.92E-06
05/18/2020 11:07:35 AM,940,64.4,0.15,-2.87E-06,-2.87E-06
05/18/2020 11:07:45 AM,950,64.5,0.149,-8.60E-06,-4.78E-07
05/18/2020 11:07:55 AM,960,64.6,0.154,4.87E-05,-2.15E-06
05/18/2020 11:08:05 AM,970,64.6,0.151,-4.30E-05,-3.30E-06
05/18/2020 11:08:15 AM,980,64.7,0.151,-9.75E-05,-2.29E-06
05/18/2020 11:08:25 AM,990,64.7,0.149,-6.02E-05,6.69E-07
05/18/2020 11:08:35 AM,1000,64.8,0.15,-7.17E-05,2.87E-06
05/18/2020 11:08:45 AM,1010,64.8,0.149,-2.87E-05,3.92E-06
05/18/2020 11:08:55 AM,1020,64.8,0.148,4.30E-05,2.39E-06
05/18/2020 11:09:05 AM,1030,64.9,0.15,6.02E-05,-1.34E-06
05/18/2020 11:09:15 AM,1040,65,0.151,-1.72E-05,-9.56E-07
05/18/2020 11:09:25 AM,1050,65.1,0.149,-4.87E-05,3.01E-06
05/18/2020 11:09:35 AM,1060,65,0.148,9.46E-05,3.54E-06
05/18/2020 11:09:45 AM,1070,65.1,0.15,1.29E-04,-3.82E-07
05/18/2020 11:09:55 AM,1080,65.1,0.155,1.72E-05,-2.68E-06
05/18/2020 11:10:05 AM,1090,65.1,0.149,5.73E-06,-8.60E-07
05/18/2020 11:10:15 AM,1100,65.1,0.15,5.73E-05,-2.01E-06
05/18/2020 11:10:25 AM,1110,65.2,0.156,3.73E-05,-4.01E-06
05/18/2020 11:10:35 AM,1120,65.1,0.152,-1.35E-04,6.69E-07
05/18/2020 11:10:45 AM,1130,65.1,0.149,-4.30E-05,7.02E-06
05/18/2020 11:10:55 AM,1140,65.2,0.148,1.78E-04,4.92E-06
05/18/2020 11:11:05 AM,1150,65.2,0.157,1.46E-04,-4.63E-06
05/18/2020 11:11:15 AM,1160,65.2,0.155,-2.87E-05,-7.93E-06
05/18/2020 11:11:25 AM,1170,65.3,0.151,-1.15E-04,-3.11E-06
05/18/2020 11:11:35 AM,1180,65.4,0.152,-3.73E-05,2.05E-06
05/18/2020 11:11:45 AM,1190,65.4,0.153,-3.15E-05,3.11E-06
05/18/2020 11:11:55 AM,1200,65.5,0.151,1.15E-05,1.67E-06
05/18/2020 11:12:05 AM,1210,65.6,0.15,2.29E-05,1.19E-06
05/18/2020 11:12:15 AM,1220,65.5,0.156,8.60E-06,2.15E-06
