Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²)
05/18/2020 11:12:25 AM,1230,65.6,0.15,4.30E-05,3.54E-06
05/18/2020 11:12:35 AM,1240,65.6,0.152,1.20E-04,1.72E-06
05/18/2020 11:12:45 AM,1250,65.7,0.157,1.23E-04,-2.87E-06
05/18/2020 11:12:55 AM,1260,65.7,0.157,3.15E-05,-6.07E-06
05/18/2020 11:13:05 AM,1270,65.7,0.153,-4.01E-05,-4.40E-06
05/18/2020 11:13:15 AM,1280,65.7,0.158,-8.03E-05,-8.60E-07
05/18/2020 11:13:25 AM,1290,65.7,0.153,-2.87E-05,2.48E-06
05/18/2020 11:13:35 AM,1300,65.8,0.152,-3.15E-05,4.30E-06
05/18/2020 11:13:45 AM,1310,65.8,0.157,6.02E-05,3.34E-06
05/18/2020 11:13:55 AM,1320,65.8,0.152,8.89E-05,2.39E-07
05/18/2020 11:14:05 AM,1330,65.8,0.157,5.16E-05,-5.49E-06
05/18/2020 11:14:15 AM,1340,65.8,0.157,-8.60E-06,-7.64E-06
05/18/2020 11:14:25 AM,1350,65.7,0.154,-1.72E-04,-4.54E-06
05/18/2020 11:14:35 AM,1360,65.8,0.153,-1.46E-04,2.58E-06
05/18/2020 11:14:45 AM,1370,65.9,0.15,-8.31E-05,7.45E-06
05/18/2020 11:14:55 AM,1380,65.9,0.153,5.73E-05,4.35E-06
05/18/2020 11:15:05 AM,1390,66,0.15,7.17E-05,-1.19E-06
05/18/2020 11:15:15 AM,1400,66,0.157,-4.01E-05,-2.05E-06
05/18/2020 11:15:25 AM,1410,66.1,0.15,-5.73E-05,2.68E-06
05/18/2020 11:15:35 AM,1420,66.1,0.15,6.31E-05,4.97E-06
05/18/2020 11:15:45 AM,1430,66.1,0.154,1.29E-04,1.15E-06
05/18/2020 11:15:55 AM,1440,66.2,0.157,7.17E-05,-3.11E-06
05/18/2020 11:16:05 AM,1450,66.1,0.151,2.87E-06,-3.34E-06
05/18/2020 11:16:15 AM,1460,66.2,0.157,2.87E-06,-1.39E-06
05/18/2020 11:16:25 AM,1470,66.2,0.154,-2.87E-06,2.10E-06
05/18/2020 11:16:35 AM,1480,66.2,0.154,-5.73E-06,4.68E-06
05/18/2020 11:16:45 AM,1490,66.2,0.154,1.38E-04,2.48E-06
05/18/2020 11:16:55 AM,1500,66.3,0.157,1.43E-04,-4.97E-06
05/18/2020 11:17:05 AM,1510,66.2,0.159,-2.87E-06,-1.03E-05
05/18/2020 11:17:15 AM,1520,66.2,0.157,-1.63E-04,-5.26E-06
05/18/2020 11:17:25 AM,1530,66.2,0.153,-1.72E-04,3.77E-06
05/18/2020 11:17:35 AM,1540,66.2,0.153,-2.87E-06,6.16E-06
05/18/2020 11:17:45 AM,1550,66.2,0.153,6.31E-05,1.86E-06
05/18/2020 11:17:55 AM,1560,66.2,0.158,-2.87E-05,-2.15E-06
05/18/2020 11:18:05 AM,1570,66.2,0.153,-3.44E-05,-8.60E-07
05/18/2020 11:18:15 AM,1580,66.2,0.152,-3.44E-05,1.05E-06
05/18/2020 11:18:25 AM,1590,66.2,0.157,1.72E-05,1.58E-06
05/18/2020 11:18:35 AM,1600,66.3,0.152,-1.72E-05,3.63E-06
05/18/2020 11:18:45 AM,1610,66.4,0.154,4.30E-05,4.59E-06
05/18/2020 11:18:55 AM,1620,66.4,0.154,1.58E-04,7.17E-07
05/18/2020 11:19:05 AM,1630,66.4,0.158,1.18E-04,-7.45E-06
05/18/2020 11:19:15 AM,1640,66.5,0.158,-4.87E-05,-1.10E-05
05/18/2020 11:19:25 AM,1650,66.5,0.157,-1.98E-04,-5.69E-06
05/18/2020 11:19:35 AM,1660,66.6,0.151,-1.89E-04,2.63E-06
05/18/2020 11:19:45 AM,1670,66.6,0.152,-8.31E-05,6.55E-06
05/18/2020 11:19:55 AM,1680,66.6,0.151,-5.73E-06,6.50E-06
05/18/2020 11:20:05 AM,1690,66.6,0.152,1.15E-05,5.78E-06
05/18/2020 11:20:15 AM,1700,66.7,0.151,1.06E-04,2.68E-06
05/18/2020 11:20:25 AM,1710,66.6,0.153,1.52E-04,-2.87E-06
05/18/2020 11:20:35 AM,1720,66.6,0.157,1.43E-05,-6.59E-06
05/18/2020 11:20:45 AM,1730,66.7,0.155,-6.88E-05,-3.11E-06
05/18/2020 11:20:55 AM,1740,66.5,0.149,-6.88E-05,2.53E-06
05/18/2020 11:21:05 AM,1750,66.6,0.156,4.87E-05,1.58E-06
05/18/2020 11:21:15 AM,1760,66.6,0.152,4.87E-05,-3.25E-06
05/18/2020 11:21:25 AM,1770,66.7,0.156,-9.17E-05,-5.11E-06
05/18/2020 11:21:35 AM,1780,66.6,0.152,-1.23E-04,-3.82E-07
05/18/2020 11:21:45 AM,1790,66.7,0.15,-8.60E-05,4.54E-06
05/18/2020 11:21:55 AM,1800,66.6,0.15,2.01E-05,5.45E-06
05/18/2020 11:22:05 AM,1810,66.6,0.153,3.73E-05,5.35E-06
05/18/2020 11:22:15 AM,1820,66.7,0.151,8.03E-05,3.39E-06
05/18/2020 11:22:25 AM,1830,66.7,0.152,1.75E-04,-2.77E-06
05/18/2020 11:22:35 AM,1840,66.7,0.156,8.60E-05,-8.98E-06
05/18/2020 11:22:45 AM,1850,66.8,0.158,-1.35E-04,-7.69E-06
05/18/2020 11:22:55 AM,1860,66.8,0.15,-1.49E-04,1.05E-06
05/18/2020 11:23:05 AM,1870,66.8,0.15,-5.16E-05,7.36E-06
05/18/2020 11:23:15 AM,1880,66.9,0.155,6.59E-05,6.50E-06
05/18/2020 11:23:25 AM,1890,67,0.15,9.17E-05,2.25E-06
05/18/2020 11:23:35 AM,1900,67,0.154,9.75E-05,-3.25E-06
05/18/2020 11:23:45 AM,1910,67,0.156,5.16E-05,-7.17E-06
05/18/2020 11:23:55 AM,1920,67.1,0.154,-8.89E-05,-6.02E-06
05/18/2020 11:24:05 AM,1930,67,0.153,-1.52E-04,-1.43E-07
05/18/2020 11:24:15 AM,1940,67.2,0.152,-6.02E-05,4.16E-06
05/18/2020 11:24:25 AM,1950,67.2,0.149,1.43E-05,2.20E-06
05/18/2020 11:24:35 AM,1960,67.3,0.154,-5.73E-06,-1.58E-06
05/18/2020 11:24:45 AM,1970,67.3,0.152,-7.45E-05,-9.08E-07
05/18/2020 11:24:55 AM,1980,67.3,0.149,-6.59E-05,2.15E-06
05/18/2020 11:25:05 AM,1990,67.3,0.15,2.01E-05,2.25E-06
05/18/2020 11:25:15 AM,2000,67.3,0.153,2.87E-05,8.12E-07
05/18/2020 11:25:25 AM,2010,67.2,0.15,-3.44E-05,1.86E-06
05/18/2020 11:25:35 AM,2020,67.3,0.151,3.73E-05,3.77E-06
05/18/2020 11:25:45 AM,2030,67.2,0.149,1.23E-04,8.12E-07
05/18/2020 11:25:55 AM,2040,67.4,0.155,9.75E-05,-6.21E-06
05/18/2020 11:26:05 AM,2050,67.3,0.153,-4.59E-05,-6.50E-06
05/18/2020 11:26:15 AM,2060,67.4,0.153,-1.66E-04,-2.34E-20
05/18/2020 11:26:25 AM,2070,67.6,0.148,-2.87E-06,5.40E-06
05/18/2020 11:26:35 AM,2080,67.6,0.15,5.45E-05,4.11E-06
05/18/2020 11:26:45 AM,2090,67.7,0.156,5.73E-05,-3.82E-07
05/18/2020 11:26:55 AM,2100,67.8,0.149,2.01E-05,-2.15E-06
05/18/2020 11:27:05 AM,2110,67.8,0.153,8.60E-06,-3.06E-06
05/18/2020 11:27:15 AM,2120,67.8,0.154,-2.58E-05,-2.63E-06
05/18/2020 11:27:25 AM,2130,67.7,0.151,-8.03E-05,1.29E-06
05/18/2020 11:27:35 AM,2140,67.8,0.149,-4.87E-05,6.74E-06
05/18/2020 11:27:45 AM,2150,67.8,0.153,1.09E-04,6.98E-06
05/18/2020 11:27:55 AM,2160,67.8,0.149,1.89E-04,-4.30E-07
05/18/2020 11:28:05 AM,2170,67.8,0.157,1.00E-04,-7.98E-06
05/18/2020 11:28:15 AM,2180,67.9,0.156,-6.59E-05,-5.54E-06
05/18/2020 11:28:25 AM,2190,67.9,0.152,-1.15E-04,2.53E-06
05/18/2020 11:28:35 AM,2200,67.9,0.15,7.17E-05,5.35E-06
05/18/2020 11:28:45 AM,2210,67.9,0.157,1.15E-04,-7.64E-07
05/18/2020 11:28:55 AM,2220,67.9,0.156,2.58E-05,-5.69E-06
05/18/2020 11:29:05 AM,2230,67.8,0.153,-1.15E-04,-1.72E-06
05/18/2020 11:29:15 AM,2240,67.8,0.155,-4.01E-05,2.77E-06
05/18/2020 11:29:25 AM,2250,67.9,0.151,7.74E-05,5.26E-07
05/18/2020 11:29:35 AM,2260,67.8,0.156,0,-5.64E-06
05/18/2020 11:29:45 AM,2270,67.9,0.157,-1.23E-04,-4.63E-06
05/18/2020 11:29:55 AM,2280,67.9,0.149,-1.78E-04,3.44E-06
05/18/2020 11:30:05 AM,2290,67.9,0.15,-2.29E-05,7.74E-06
05/18/2020 11:30:15 AM,2300,68.1,0.152,1.06E-04,3.34E-06
05/18/2020 11:30:25 AM,2310,68,0.153,5.73E-05,-3.34E-06
05/18/2020 11:30:35 AM,2320,68.1,0.153,-5.73E-05,-2.44E-06
05/18/2020 11:30:45 AM,2330,68,0.152,-6.02E-05,5.02E-06
05/18/2020 11:30:55 AM,2340,68.2,0.149,7.74E-05,9.22E-06
05/18/2020 11:31:05 AM,2350,68.1,0.154,2.24E-04,3.34E-06
05/18/2020 11:31:15 AM,2360,68.1,0.157,2.12E-04,-5.73E-06
05/18/2020 11:31:25 AM,2370,68.2,0.158,5.73E-06,-8.98E-06
05/18/2020 11:31:35 AM,2380,68.2,0.157,-4.87E-05,-6.31E-06
05/18/2020 11:31:45 AM,2390,68.2,0.153,-5.45E-05,-3.58E-06
05/18/2020 11:31:55 AM,2400,68.2,0.158,-1.06E-04,-1.15E-06
05/18/2020 11:32:05 AM,2410,68.2,0.154,-1.52E-04,4.92E-06
05/18/2020 11:32:15 AM,2420,68.2,0.151,-2.01E-05,8.36E-06
05/18/2020 11:32:25 AM,2430,68.2,0.152,1.55E-04,3.11E-06
05/18/2020 11:32:35 AM,2440,68.1,0.159,8.89E-05,-5.11E-06
05/18/2020 11:32:45 AM,2450,68.1,0.155,-7.45E-05,-5.49E-06
05/18/2020 11:32:55 AM,2460,68.1,0.153,-9.75E-05,1.72E-06
05/18/2020 11:33:05 AM,2470,68.1,0.153,1.15E-05,7.17E-06
05/18/2020 11:33:15 AM,2480,68.1,0.155,1.06E-04,6.31E-06
05/18/2020 11:33:25 AM,2490,68.1,0.154,1.52E-04,6.69E-07
05/18/2020 11:33:35 AM,2500,68.1,0.159,1.40E-04,-5.06E-06
05/18/2020 11:33:45 AM,2510,68.1,0.158,1.72E-05,-7.26E-06
05/18/2020 11:33:55 AM,2520,68.2,0.159,-6.31E-05,-5.45E-06
05/18/2020 11:34:05 AM,2530,68.2,0.155,-8.03E-05,-1.82E-06
05/18/2020 11:34:15 AM,2540,68.3,0.158,-8.89E-05,-1.91E-07
05/18/2020 11:34:25 AM,2550,68.2,0.154,-6.59E-05,5.26E-07
05/18/2020 11:34:35 AM,2560,68.3,0.154,-8.89E-05,2.68E-06
05/18/2020 11:34:45 AM,2570,68.3,0.155,-4.87E-05,6.59E-06
05/18/2020 11:34:55 AM,2580,68.4,0.152,5.45E-05,7.93E-06
05/18/2020 11:35:05 AM,2590,68.4,0.153,1.86E-04,1.53E-06
05/18/2020 11:35:15 AM,2600,68.3,0.159,1.52E-04,-7.98E-06
05/18/2020 11:35:25 AM,2610,68.3,0.159,-5.45E-05,-1.18E-05
05/18/2020 11:35:35 AM,2620,68.3,0.155,-1.83E-04,-6.55E-06
05/18/2020 11:35:45 AM,2630,68.3,0.154,-1.86E-04,2.20E-06
05/18/2020 11:35:55 AM,2640,68.3,0.153,-1.09E-04,7.50E-06
05/18/2020 11:36:05 AM,2650,68.3,0.15,2.87E-06,9.13E-06
05/18/2020 11:36:15 AM,2660,68.2,0.153,7.74E-05,5.92E-06
05/18/2020 11:36:25 AM,2670,68.2,0.154,1.75E-04,-4.30E-07
05/18/2020 11:36:35 AM,2680,68.3,0.153,7.45E-05,-4.97E-06
05/18/2020 11:36:45 AM,2690,68.2,0.16,-2.01E-05,-3.39E-06
05/18/2020 11:36:55 AM,2700,68.2,0.152,-2.58E-05,3.63E-06
05/18/2020 11:37:05 AM,2710,68.2,0.155,7.17E-05,4.92E-06
05/18/2020 11:37:15 AM,2720,68.4,0.157,2.01E-04,-1.91E-06
05/18/2020 11:37:25 AM,2730,68.2,0.159,4.87E-05,-9.84E-06
05/18/2020 11:37:35 AM,2740,68.3,0.16,-1.18E-04,-9.13E-06
05/18/2020 11:37:45 AM,2750,68.3,0.155,-2.01E-04,1.24E-06
05/18/2020 11:37:55 AM,2760,68.2,0.154,-9.75E-05,1.02E-05
05/18/2020 11:38:05 AM,2770,68.4,0.153,1.03E-04,1.22E-05
05/18/2020 11:38:15 AM,2780,68.3,0.156,1.89E-04,5.21E-06
05/18/2020 11:38:25 AM,2790,68.3,0.159,2.44E-04,-5.49E-06
05/18/2020 11:38:35 AM,2800,68.3,0.159,7.45E-05,-1.14E-05
05/18/2020 11:38:45 AM,2810,68.3,0.164,-1.12E-04,-8.36E-06
05/18/2020 11:38:55 AM,2820,68.4,0.155,-1.38E-04,-1.91E-07
05/18/2020 11:39:05 AM,2830,68.4,0.156,-4.59E-05,1.43E-06
05/18/2020 11:39:15 AM,2840,68.4,0.159,-2.87E-06,-3.20E-06
05/18/2020 11:39:25 AM,2850,68.4,0.158,-1.61E-04,-3.20E-06
05/18/2020 11:39:35 AM,2860,68.4,0.153,-2.15E-04,3.39E-06
05/18/2020 11:39:45 AM,2870,68.3,0.152,-2.58E-05,7.07E-06
05/18/2020 11:39:55 AM,2880,68.3,0.152,6.59E-05,3.87E-06
05/18/2020 11:40:05 AM,2890,68.3,0.158,-1.72E-05,3.34E-07
05/18/2020 11:40:15 AM,2900,68.2,0.152,8.60E-06,9.08E-07
05/18/2020 11:40:25 AM,2910,68.2,0.151,5.16E-05,-2.31E-20
05/18/2020 11:40:35 AM,2920,68.4,0.159,5.16E-05,-2.44E-06
05/18/2020 11:40:45 AM,2930,68.3,0.154,-6.02E-05,-1.43E-07
05/18/2020 11:40:55 AM,2940,68.4,0.152,-2.58E-05,2.63E-06
05/18/2020 11:41:05 AM,2950,68.4,0.154,1.20E-04,-2.39E-07
05/18/2020 11:41:15 AM,2960,68.4,0.157,2.87E-05,-5.16E-06
05/18/2020 11:41:25 AM,2970,68.4,0.157,-1.29E-04,-2.96E-06
05/18/2020 11:41:35 AM,2980,68.4,0.152,-8.60E-05,5.06E-06
05/18/2020 11:41:45 AM,2990,68.5,0.151,5.73E-05,5.21E-06
05/18/2020 11:41:55 AM,3000,68.5,0.157,1.46E-04,-3.39E-06
05/18/2020 11:42:05 AM,3010,68.5,0.155,-4.87E-05,-7.98E-06
05/18/2020 11:42:15 AM,3020,68.5,0.157,-1.83E-04,-2.72E-06
05/18/2020 11:42:25 AM,3030,68.5,0.148,-9.17E-05,5.92E-06
05/18/2020 11:42:35 AM,3040,68.5,0.152,2.58E-05,5.92E-06
05/18/2020 11:42:45 AM,3050,68.6,0.154,9.75E-05,4.78E-07
05/18/2020 11:42:55 AM,3060,68.6,0.153,-1.72E-05,-1.15E-06
05/18/2020 11:43:05 AM,3070,68.5,0.154,-2.01E-05,7.64E-07
05/18/2020 11:43:15 AM,3080,68.6,0.152,7.45E-05,6.69E-07
05/18/2020 11:43:25 AM,3090,68.7,0.154,5.16E-05,-3.68E-06
05/18/2020 11:43:35 AM,3100,68.6,0.157,-4.87E-05,-5.78E-06
05/18/2020 11:43:45 AM,3110,68.5,0.151,-1.18E-04,-2.25E-06
05/18/2020 11:43:55 AM,3120,68.5,0.151,-1.03E-04,3.44E-06
05/18/2020 11:44:05 AM,3130,68.6,0.153,-2.87E-05,7.60E-06
05/18/2020 11:44:15 AM,3140,68.6,0.149,6.88E-05,6.83E-06
05/18/2020 11:44:25 AM,3150,68.6,0.151,1.66E-04,1.15E-06
05/18/2020 11:44:35 AM,3160,68.7,0.157,1.12E-04,-5.54E-06
05/18/2020 11:44:45 AM,3170,68.6,0.155,-2.87E-06,-6.02E-06
05/18/2020 11:44:55 AM,3180,68.7,0.152,-9.46E-05,-7.17E-07
05/18/2020 11:45:05 AM,3190,68.8,0.156,1.15E-05,3.58E-06
05/18/2020 11:45:15 AM,3200,68.9,0.151,5.45E-05,3.25E-06
05/18/2020 11:45:25 AM,3210,68.9,0.158,6.31E-05,-1.29E-06
05/18/2020 11:45:35 AM,3220,68.8,0.154,4.87E-05,-3.87E-06
05/18/2020 11:45:45 AM,3230,68.9,0.157,-6.02E-05,-3.49E-06
05/18/2020 11:45:55 AM,3240,68.9,0.154,-5.45E-05,-5.26E-07
05/18/2020 11:46:05 AM,3250,69,0.153,-4.30E-05,1.62E-06
05/18/2020 11:46:15 AM,3260,69,0.154,0,1.91E-07
05/18/2020 11:46:25 AM,3270,69,0.155,-1.72E-05,1.43E-07
05/18/2020 11:46:35 AM,3280,69,0.153,-6.88E-05,3.87E-06
05/18/2020 11:46:45 AM,3290,68.9,0.153,3.44E-05,7.98E-06
05/18/2020 11:46:55 AM,3300,69,0.151,1.81E-04,4.16E-06
05/18/2020 11:47:05 AM,3310,69,0.158,2.12E-04,5.83E-06
05/18/2020 11:47:15 AM,3320,68.9,0.159,2.87E-06,1.28E-05
05/18/2020 11:47:25 AM,3330,68.9,0.159,5.62E-04,5.02E-06
05/18/2020 11:47:35 AM,3340,68.9,0.151,5.96E-04,-2.25E-05
