Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²),Temperature (°C)
05/25/2020 3:20:36 PM,0,27.5,0.15,,,22.1
05/25/2020 3:21:06 PM,30,27.9,0.15,-5.16E-05,,22.1
05/25/2020 3:21:36 PM,60,28.2,0.15,-2.29E-05,8.12E-07,22.1
05/25/2020 3:22:06 PM,90,28.6,0.15,-2.87E-06,4.88E-07,22.1
05/25/2020 3:22:36 PM,120,28.8,0.15,1.15E-05,1.54E-07,22.1
05/25/2020 3:23:06 PM,150,29.3,0.15,1.91E-06,-3.19E-08,22.2
05/25/2020 3:23:36 PM,180,29.4,0.15,0,-6.37E-08,22.2
05/25/2020 3:24:06 PM,210,29.8,0.15,2.87E-06,5.31E-09,22.2
05/25/2020 3:24:36 PM,240,30,0.15,-9.56E-07,2.65E-08,22.2
05/25/2020 3:25:06 PM,270,30.3,0.15,3.82E-06,1.06E-08,22.2
05/25/2020 3:25:36 PM,300,30.5,0.15,3.82E-06,-3.72E-08,22.2
05/25/2020 3:26:06 PM,330,30.9,0.15,-4.63E-19,-9.56E-08,22.2
05/25/2020 3:26:36 PM,360,31,0.15,-3.82E-06,-4.78E-08,22.2
05/25/2020 3:27:06 PM,390,31.3,0.15,-5.73E-06,5.31E-09,22.3
05/25/2020 3:27:36 PM,420,31.5,0.15,9.56E-07,1.06E-08,22.3
05/25/2020 3:28:06 PM,450,31.7,0.15,-3.82E-06,-5.31E-09,22.3
05/25/2020 3:28:36 PM,480,32.2,0.15,-3.82E-06,-2.56E-21,22.4
05/25/2020 3:29:06 PM,510,32.4,0.15,-1.91E-06,2.65E-08,22.4
05/25/2020 3:29:36 PM,540,32.6,0.15,-9.56E-07,2.12E-08,22.4
05/25/2020 3:30:06 PM,570,33,0.15,-1.91E-06,4.25E-08,22.3
05/25/2020 3:30:36 PM,600,33.4,0.15,0,7.96E-08,22.3
05/25/2020 3:31:06 PM,630,33.5,0.15,4.78E-06,6.37E-08,22.3
05/25/2020 3:31:36 PM,660,33.7,0.15,6.69E-06,-2.65E-08,22.3
05/25/2020 3:32:06 PM,690,34,0.15,2.87E-06,-2.65E-08,22.3
05/25/2020 3:32:36 PM,720,34.3,0.15,-2.87E-06,8.49E-08,22.3
05/25/2020 3:33:06 PM,750,34.5,0.15,9.56E-06,1.38E-07,22.2
05/25/2020 3:33:36 PM,780,34.5,0.15,1.53E-05,1.54E-07,22.2
05/25/2020 3:34:06 PM,810,34.6,0.15,9.56E-06,1.06E-07,22.2
05/25/2020 3:34:36 PM,840,34.9,0.15,2.48E-05,-1.59E-08,22.1
05/25/2020 3:35:06 PM,870,34.9,0.15,1.91E-05,-3.08E-07,21.9
05/25/2020 3:35:36 PM,900,35,0.15,2.87E-06,-5.31E-07,21.6
05/25/2020 3:36:06 PM,930,35,0.15,-2.39E-05,-2.34E-07,21.4
05/25/2020 3:36:36 PM,960,35.3,0.15,-2.77E-05,1.86E-07,21.2
05/25/2020 3:37:06 PM,990,35.2,0.15,7.64E-06,3.08E-07,21
05/25/2020 3:37:36 PM,1020,35.4,0.15,4.78E-06,5.84E-08,21
05/25/2020 3:38:06 PM,1050,35.4,0.15,-9.56E-07,-1.65E-07,20.9
05/25/2020 3:38:36 PM,1080,35.5,0.15,-8.60E-06,-6.37E-08,20.8
05/25/2020 3:39:06 PM,1110,35.5,0.15,-8.60E-06,5.84E-08,20.8
05/25/2020 3:39:36 PM,1140,35.6,0.15,9.56E-07,8.49E-08,20.7
05/25/2020 3:40:06 PM,1170,35.6,0.15,0,1.59E-08,20.6
05/25/2020 3:40:36 PM,1200,36,0.15,-1.91E-06,-3.72E-08,20.5
05/25/2020 3:41:06 PM,1230,36.1,0.15,-2.87E-06,5.31E-09,20.5
05/25/2020 3:41:36 PM,1260,36.1,0.15,-2.87E-06,6.37E-08,20.6
05/25/2020 3:42:06 PM,1290,36.3,0.15,1.91E-06,5.84E-08,20.7
05/25/2020 3:42:36 PM,1320,36.4,0.15,4.78E-06,-1.06E-08,20.8
05/25/2020 3:43:06 PM,1350,36.7,0.15,0,-7.43E-08,20.8
05/25/2020 3:43:36 PM,1380,36.7,0.15,-2.87E-06,-7.96E-08,20.9
05/25/2020 3:44:06 PM,1410,36.7,0.15,-3.82E-06,-3.19E-08,21
05/25/2020 3:44:36 PM,1440,36.8,0.15,-5.73E-06,-7.72E-21,21
05/25/2020 3:45:06 PM,1470,36.8,0.15,-2.87E-06,1.06E-08,21
05/25/2020 3:45:36 PM,1500,36.9,0.15,-3.82E-06,-1.59E-08,21.1
05/25/2020 3:46:06 PM,1530,37.1,0.15,-3.82E-06,-4.25E-08,21.2
05/25/2020 3:46:36 PM,1560,37.1,0.15,-7.64E-06,1.59E-08,21.3
05/25/2020 3:47:06 PM,1590,37.1,0.15,-6.69E-06,5.31E-08,21.3
05/25/2020 3:47:36 PM,1620,37.1,0.15,1.91E-06,4.78E-08,21.4
05/25/2020 3:48:06 PM,1650,37.1,0.15,-3.82E-06,1.59E-08,21.5
05/25/2020 3:48:36 PM,1680,37.2,0.15,-1.91E-06,5.31E-08,21.6
05/25/2020 3:49:06 PM,1710,37.4,0.15,4.63E-19,1.06E-07,21.7
05/25/2020 3:49:36 PM,1740,37.6,0.15,7.64E-06,5.31E-09,21.8
05/25/2020 3:50:06 PM,1770,37.6,0.15,5.73E-06,-1.06E-07,21.9
05/25/2020 3:50:36 PM,1800,37.8,0.15,-6.69E-06,-1.17E-07,22
05/25/2020 3:51:06 PM,1830,37.9,0.15,-4.78E-06,-5.31E-09,22.1
05/25/2020 3:51:36 PM,1860,38,0.15,-2.87E-06,7.96E-08,22.2
05/25/2020 3:52:06 PM,1890,38.1,0.15,9.56E-07,5.84E-08,22.2
05/25/2020 3:52:36 PM,1920,38.2,0.15,1.91E-06,2.23E-07,22.3
05/25/2020 3:53:06 PM,1950,38.3,0.15,9.56E-07,3.77E-07,22.3
05/25/2020 3:53:36 PM,1980,38.5,0.15,3.73E-05,2.07E-07,22.4
05/25/2020 3:54:06 PM,2010,38.4,0.15,3.34E-05,-3.29E-07,22.4
05/25/2020 3:54:36 PM,2040,38.5,0.15,6.69E-06,-7.38E-07,22.4
05/25/2020 3:55:06 PM,2070,38.5,0.15,-2.77E-05,-4.25E-07,22.4
05/25/2020 3:55:36 PM,2100,38.6,0.15,-3.44E-05,7.96E-08,22.4
05/25/2020 3:56:06 PM,2130,38.5,0.15,-1.91E-06,3.13E-07,22.4
05/25/2020 3:56:36 PM,2160,38.6,0.15,-4.78E-06,1.59E-07,22.4
05/25/2020 3:57:06 PM,2190,38.6,0.15,-9.56E-07,-2.65E-08,22.4
05/25/2020 3:57:36 PM,2220,38.7,0.15,-6.69E-06,2.23E-07,22.4
05/25/2020 3:58:06 PM,2250,38.7,0.15,-4.78E-06,4.57E-07,22.4
05/25/2020 3:58:36 PM,2280,38.6,0.15,3.92E-05,3.08E-07,22.4
05/25/2020 3:59:06 PM,2310,38.7,0.15,3.54E-05,-2.55E-07,22.3
05/25/2020 3:59:36 PM,2340,38.7,0.15,8.60E-06,-6.58E-07,22.3
05/25/2020 4:00:06 PM,2370,38.7,0.15,-2.01E-05,-3.88E-07,22.2
05/25/2020 4:00:36 PM,2400,38.7,0.15,-2.39E-05,-3.72E-08,22.3
05/25/2020 4:01:06 PM,2430,38.6,0.15,-1.91E-06,9.02E-08,22.3
05/25/2020 4:01:36 PM,2460,38.6,0.15,-1.62E-05,5.84E-08,22.3
05/25/2020 4:02:06 PM,2490,38.6,0.15,-1.15E-05,8.49E-08,22.3
05/25/2020 4:02:36 PM,2520,38.6,0.15,-3.82E-06,1.70E-07,22.3
05/25/2020 4:03:06 PM,2550,38.6,0.15,9.56E-07,1.38E-07,22.3
05/25/2020 4:03:36 PM,2580,38.5,0.15,1.91E-06,2.65E-07,22.3
05/25/2020 4:04:06 PM,2610,38.6,0.15,7.64E-06,3.77E-07,22.3
05/25/2020 4:04:36 PM,2640,38.6,0.15,3.73E-05,1.06E-07,22.3
05/25/2020 4:05:06 PM,2670,38.6,0.15,3.34E-05,-4.88E-07,22.4
05/25/2020 4:05:36 PM,2700,38.6,0.15,-4.78E-06,-7.96E-07,22.4
05/25/2020 4:06:06 PM,2730,38.6,0.15,-3.82E-05,-3.93E-07,22.5
05/25/2020 4:06:36 PM,2760,38.7,0.15,-3.44E-05,1.43E-07,22.5
05/25/2020 4:07:06 PM,2790,38.8,0.15,-7.64E-06,3.45E-07,22.5
05/25/2020 4:07:36 PM,2820,38.8,0.15,-9.56E-06,2.92E-07,22.5
05/25/2020 4:08:06 PM,2850,38.9,0.15,-9.56E-07,2.23E-07,22.6
05/25/2020 4:08:36 PM,2880,38.9,0.15,1.15E-05,2.07E-07,22.6
05/25/2020 4:09:06 PM,2910,38.9,0.15,1.15E-05,5.31E-08,22.6
05/25/2020 4:09:36 PM,2940,38.9,0.15,1.53E-05,-1.43E-07,22.5
05/25/2020 4:10:06 PM,2970,38.9,0.15,4.78E-06,-2.71E-07,22.5
05/25/2020 4:10:36 PM,3000,38.9,0.15,-7.64E-06,-2.55E-07,22.5
05/25/2020 4:11:06 PM,3030,38.9,0.15,-1.43E-05,-2.65E-08,22.5
05/25/2020 4:11:36 PM,3060,38.9,0.15,-1.15E-05,3.61E-07,22.5
05/25/2020 4:12:06 PM,3090,38.9,0.15,3.82E-06,6.48E-07,22.4
05/25/2020 4:12:36 PM,3120,38.9,0.15,3.92E-05,4.19E-07,22.4
05/25/2020 4:13:06 PM,3150,38.9,0.15,5.16E-05,-3.19E-07,22.4
05/25/2020 4:13:36 PM,3180,38.8,0.15,1.62E-05,-8.92E-07,22.4
05/25/2020 4:14:06 PM,3210,38.8,0.15,-3.06E-05,-5.95E-07,22.4
05/25/2020 4:14:36 PM,3240,38.8,0.15,-3.92E-05,9.02E-08,22.4
05/25/2020 4:15:06 PM,3270,38.8,0.15,0,3.40E-07,22.4
05/25/2020 4:15:36 PM,3300,38.8,0.15,1.91E-06,7.96E-08,22.4
05/25/2020 4:16:06 PM,3330,38.8,0.15,-1.05E-05,-1.54E-07,22.4
05/25/2020 4:16:36 PM,3360,38.7,0.15,-1.43E-05,-3.19E-08,22.4
05/25/2020 4:17:06 PM,3390,38.6,0.15,-1.15E-05,1.01E-07,22.4
05/25/2020 4:17:36 PM,3420,38.6,0.15,-2.87E-06,1.11E-07,22.4
05/25/2020 4:18:06 PM,3450,38.7,0.15,-3.82E-06,1.33E-07,22.4
05/25/2020 4:18:36 PM,3480,38.8,0.15,-1.91E-06,1.91E-07,22.4
05/25/2020 4:19:06 PM,3510,38.9,0.15,1.15E-05,1.65E-07,22.5
05/25/2020 4:19:36 PM,3540,38.9,0.15,1.62E-05,-4.78E-08,22.5
05/25/2020 4:20:06 PM,3570,38.9,0.15,7.64E-06,-2.65E-07,22.6
05/25/2020 4:20:36 PM,3600,39,0.15,-6.69E-06,-1.86E-07,22.6
05/25/2020 4:21:06 PM,3630,39,0.15,-1.34E-05,6.90E-08,22.6
05/25/2020 4:21:36 PM,3660,39,0.15,3.82E-06,1.91E-07,22.6
05/25/2020 4:22:06 PM,3690,39,0.15,9.56E-06,2.55E-07,22.7
05/25/2020 4:22:36 PM,3720,39,0.15,4.78E-06,3.08E-07,22.7
05/25/2020 4:23:06 PM,3750,39.1,0.15,3.15E-05,1.59E-07,22.7
05/25/2020 4:23:36 PM,3780,39,0.15,3.73E-05,-4.09E-07,22.7
05/25/2020 4:24:06 PM,3810,39,0.15,5.73E-06,-8.87E-07,22.8
05/25/2020 4:24:36 PM,3840,39,0.15,-4.30E-05,-5.52E-07,22.8
05/25/2020 4:25:06 PM,3870,39,0.15,-4.78E-05,1.86E-07,22.8
05/25/2020 4:25:36 PM,3900,39,0.15,-8.60E-06,5.47E-07,22.8
05/25/2020 4:26:06 PM,3930,39,0.15,4.78E-06,4.09E-07,22.8
05/25/2020 4:26:36 PM,3960,39,0.15,2.87E-06,1.96E-07,22.9
05/25/2020 4:27:06 PM,3990,38.9,0.15,1.43E-05,7.96E-08,22.9
05/25/2020 4:27:36 PM,4020,38.9,0.15,1.72E-05,-5.31E-08,22.9
05/25/2020 4:28:06 PM,4050,38.8,0.15,4.78E-06,-1.70E-07,22.9
05/25/2020 4:28:36 PM,4080,38.8,0.15,2.87E-06,-1.54E-07,22.9
05/25/2020 4:29:06 PM,4110,38.8,0.15,-1.91E-06,-1.43E-07,22.8
05/25/2020 4:29:36 PM,4140,38.8,0.15,-3.82E-06,-1.49E-07,22.6
05/25/2020 4:30:06 PM,4170,38.8,0.15,-1.43E-05,-2.12E-08,22.3
05/25/2020 4:30:36 PM,4200,38.9,0.15,-1.15E-05,1.38E-07,21.9
05/25/2020 4:31:06 PM,4230,38.9,0.15,1.91E-06,1.75E-07,21.7
05/25/2020 4:31:36 PM,4260,38.9,0.15,4.78E-06,3.72E-08,21.5
05/25/2020 4:32:06 PM,4290,38.9,0.15,9.56E-07,-4.25E-08,21.3
05/25/2020 4:32:36 PM,4320,39,0.15,-3.82E-06,4.25E-08,21.1
05/25/2020 4:33:06 PM,4350,39,0.15,2.87E-06,1.33E-07,21
05/25/2020 4:33:36 PM,4380,38.9,0.15,1.05E-05,1.27E-07,20.9
05/25/2020 4:34:06 PM,4410,39,0.15,1.05E-05,4.25E-08,20.7
05/25/2020 4:34:36 PM,4440,38.9,0.15,1.15E-05,-5.31E-08,20.6
05/25/2020 4:35:06 PM,4470,38.9,0.15,9.56E-06,-1.06E-07,20.5
05/25/2020 4:35:36 PM,4500,38.8,0.15,1.91E-06,4.25E-08,20.5
05/25/2020 4:36:06 PM,4530,38.9,0.15,9.56E-07,2.23E-07,20.6
05/25/2020 4:36:36 PM,4560,38.7,0.15,2.77E-05,4.25E-08,20.8
05/25/2020 4:37:06 PM,4590,38.8,0.15,2.39E-05,-4.57E-07,20.9
05/25/2020 4:37:36 PM,4620,38.8,0.15,-1.34E-05,-6.69E-07,21
05/25/2020 4:38:06 PM,4650,38.8,0.15,-4.01E-05,-1.75E-07,21
05/25/2020 4:38:36 PM,4680,38.7,0.15,-2.87E-05,3.56E-07,21.1
05/25/2020 4:39:06 PM,4710,38.7,0.15,7.64E-06,3.61E-07,21.1
05/25/2020 4:39:36 PM,4740,38.7,0.15,2.87E-06,-1.06E-08,21.2
05/25/2020 4:40:06 PM,4770,38.6,0.15,-6.69E-06,-1.49E-07,21.2
05/25/2020 4:40:36 PM,4800,38.5,0.15,-1.62E-05,1.01E-07,21.3
05/25/2020 4:41:06 PM,4830,38.6,0.15,0,2.12E-07,21.4
05/25/2020 4:41:36 PM,4860,38.7,0.15,1.43E-05,6.90E-08,21.5
05/25/2020 4:42:06 PM,4890,38.7,0.15,9.56E-07,4.25E-08,21.6
05/25/2020 4:42:36 PM,4920,38.8,0.15,-4.78E-06,2.71E-07,21.7
05/25/2020 4:43:06 PM,4950,38.8,0.15,2.68E-05,2.12E-07,21.8
05/25/2020 4:43:36 PM,4980,38.8,0.15,3.73E-05,-3.66E-07,21.9
05/25/2020 4:44:06 PM,5010,38.8,0.15,-2.87E-06,-7.64E-07,22
