Time (s),Position (m),Temperature2,Temperature (C)
11520,0.189,202.8,92.2
11530,0.186,202.8,91.8
11540,0.189,202.8,92.1
11550,0.185,202.8,92
11560,0.187,202.8,91.8
11570,0.186,201.9,92
11580,0.187,201.9,91.9
11590,0.181,201.9,92
11600,0.187,201.9,92
11610,0.185,201.9,92
11620,0.188,202.8,92.3
11630,0.185,202.8,92
11640,0.183,202.8,91.9
11650,0.183,202.8,92.3
11660,0.185,202.8,92.5
11670,0.184,202.8,92.3
11680,0.184,202.8,92
11690,0.184,202.8,92.5
11700,0.187,202.8,92.5
11710,0.183,202.8,92.2
11720,0.186,202.8,92.3
11730,0.191,202.8,92.4
11740,0.19,202.8,91.8
11750,0.192,202.8,92.1
11760,0.188,201.9,92.3
11770,0.188,201.9,91.9
11780,0.188,202.8,92.1
11790,0.185,202.8,92.3
11800,0.193,202.8,91.8
11810,0.189,202.8,91.9
11820,0.19,202.8,92.1
11830,0.189,202.8,91.8
11840,0.189,202.8,92.3
11850,0.18,202.8,92.3
11860,0.193,202.8,92.2
11870,0.186,202.8,92.4
11880,0.189,202.8,92.1
11890,0.191,202.8,92.2
11900,0.195,201.9,91.9
11910,0.193,201.9,92.3
11920,0.189,201.9,92
11930,0.188,201.9,92.1
11940,0.192,201.9,92.2
11950,0.184,201.9,91.8
11960,0.191,202.8,91.8
11970,0.182,202.8,92
11980,0.192,202.8,92
11990,0.183,202.8,91.8
12000,0.19,202.8,92.1
12010,0.186,202.8,92.1
12020,0.191,202.8,91.8
12030,0.186,202.8,92.1
12040,0.188,202.8,91.8
12050,0.18,201.9,91.7
12060,0.191,201.9,91.6
12070,0.204,201.9,91.4
12080,0.187,201.9,91.8
12090,0.188,201.9,91.8
12100,0.188,201.9,91.2
12110,0.192,201.9,92
12120,0.186,202.8,91.6
12130,0.188,202.8,91.4
12140,0.186,202.8,92
12150,0.189,202.8,91.6
12160,0.192,202.8,91.8
12170,0.194,202.8,92
12180,0.189,202.8,92
12190,0.189,202.8,91.8
12200,0.189,202.8,91.8
12210,0.19,202.8,91.6
12220,0.193,201.9,91.8
12230,0.191,201.9,91.5
12240,0.191,201.9,91.6
12250,0.189,201.9,91.6
12260,0.186,201.9,91.7
12270,0.194,201.9,91.5
12280,0.191,201.9,91.4
12290,0.187,201.9,91.2
12300,0.195,202.8,91.6
12310,0.192,202.8,91.8
12320,0.196,202.8,91.6
12330,0.192,202.8,91.7
12340,0.188,202.8,91.8
12350,0.191,202.8,92.1
12360,0.196,202.8,91.6
12370,0.19,202.8,91.8
12380,0.195,202.8,92
12390,0.192,201.9,91.5
12400,0.184,201.9,91.8
12410,0.19,201.9,91.9
12420,0.193,201.9,92
12430,0.195,201.9,91.9
12440,0.193,201.9,91.8
12450,0.19,202.8,91.7
12460,0.19,202.8,91.7
12470,0.188,202.8,91.5
12480,0.19,202.8,92
12490,0.192,202.8,91.8
12500,0.169,202.8,92.1
12510,0.189,202.8,92.3
12520,0.196,202.8,92
12530,0.19,202.8,92
12540,0.194,202.8,92.2
12550,0.193,202.8,91.9
12560,0.19,201.9,91.7
12570,0.193,201.9,91.3
12580,0.191,201.9,91.7
12590,0.199,201.9,91.6
12600,0.198,201.9,91.8
12610,0.194,201.9,91.2
12620,0.191,202.8,91.9
12630,0.195,202.8,91.8
12640,0.191,202.8,92.1
12650,0.194,202.8,92.1
12660,0.191,202.8,92
12670,0.19,202.8,92.1
12680,0.192,202.8,92
12690,0.187,202.8,91.4
12700,0.195,202.8,92
12710,0.195,202.8,92
12720,0.192,202.8,91.9
12730,0.191,202.8,91.7
12740,0.192,201.9,91.9
12750,0.193,201.9,91.7
12760,0.192,201.9,91.7
12770,0.191,201.9,91.6
