Date and Time,Time (s),Temperature (C),Position (m),Velocity (m/s),Acceleration (m/s²)
05/18/2020 10:49:48 AM,0,58.5,0.148,,
05/18/2020 10:49:58 AM,10,58.7,0.154,6.88E-05,
05/18/2020 10:50:08 AM,20,59,0.149,7.45E-05,-3.01E-06
05/18/2020 10:50:18 AM,30,49.5,0.152,8.60E-06,-2.63E-06
05/18/2020 10:50:28 AM,40,42.1,0.155,4.30E-05,-3.39E-06
05/18/2020 10:50:38 AM,50,39.1,0.149,-5.73E-05,-1.96E-06
05/18/2020 10:50:48 AM,60,57.6,0.155,-6.31E-05,-9.08E-07
05/18/2020 10:50:58 AM,70,59.2,0.149,-2.87E-06,6.21E-07
05/18/2020 10:51:08 AM,80,59.1,0.152,-6.59E-05,-2.30E-20
05/18/2020 10:51:18 AM,90,59.3,0.152,-1.72E-05,1.05E-06
05/18/2020 10:51:28 AM,100,56.3,0.148,-4.87E-05,
05/18/2020 10:51:38 AM,110,59.9,0.152,4.30E-05,
05/18/2020 10:51:48 AM,120,59.5,0.149,,
