Time (s),Temperature (C),Position (m)
12970,78.7,0.167
12980,78.7,0.166
12990,78.6,0.169
13000,78.6,0.164
13010,78.6,0.169
13020,78.7,0.17
13030,78.8,0.165
13040,78.8,0.17
13050,78.9,0.165
13060,78.9,0.171
13070,78.9,0.166
13080,79,0.171
13090,78.9,0.167
13100,79,0.169
13110,79.1,0.169
13120,79,0.167
13130,79,0.166
13140,79,0.169
13150,78.9,0.166
13160,78.9,0.166
13170,79,0.167
13180,79,0.168
13190,78.9,0.169
13200,78.8,0.169
13210,78.9,0.167
13220,78.9,0.169
13230,78.9,0.173
13240,79,0.169
13250,79.1,0.172
13260,79.1,0.17
13270,79.2,0.173
13280,79.1,0.167
13290,79.2,0.169
13300,79.2,0.168
13310,79.2,0.167
13320,79.3,0.172
13330,79.2,0.175
13340,79.1,0.168
13350,79.1,0.168
13360,79.1,0.17
13370,78.9,0.169
13380,79,0.165
13390,78.9,0.174
13400,78.9,0.17
13410,78.9,0.174
13420,79,0.169
13430,78.9,0.172
13440,79,0.17
13450,79.1,0.177
13460,79.1,0.171
13470,79,0.169
13480,79,0.169
13490,79.1,0.169
13500,79,0.173
13510,79,0.17
13520,79,0.176
13530,79,0.173
13540,78.9,0.171
13550,78.9,0.17
13560,78.9,0.171
13570,78.7,0.172
13580,78.8,0.176
13590,78.7,0.17
13600,78.8,0.172
13610,78.8,0.171
13620,78.8,0.169
13630,78.8,0.175
13640,78.8,0.171
13650,78.7,0.172
13660,78.9,0.171
13670,78.8,0.171
13680,78.8,0.168
13690,78.9,0.175
13700,78.8,0.175
13710,78.7,0.177
13720,78.7,0.17
13730,78.7,0.171
13740,78.6,0.171
13750,78.6,0.172
13760,78.5,0.171
13770,78.5,0.166
13780,78.6,0.172
13790,78.6,0.173
13800,78.6,0.177
13810,78.6,0.176
13820,78.6,0.169
13830,78.6,0.169
13840,78.5,0.172
13850,78.6,0.171
13860,78.6,0.176
13870,78.7,0.173
13880,78.7,0.175
13890,78.6,0.174
13900,78.6,0.175
13910,78.6,0.17
13920,78.5,0.171
13930,78.5,0.17
13940,78.5,0.17
13950,78.4,0.171
13960,78.5,0.173
13970,78.5,0.174
13980,78.5,0.168
13990,78.6,0.175
14000,78.7,0.167
14010,78.7,0.17
14020,78.7,0.173
14030,78.7,0.171
14040,78.7,0.174
14050,78.8,0.167
14060,78.8,0.172
14070,78.9,0.172
14080,78.8,0.175
14090,78.8,0.172
14100,78.7,0.17
14110,78.7,0.172
14120,78.8,0.17
14130,78.6,0.174
14140,78.7,0.171
14150,78.7,0.167
14160,78.7,0.173
14170,78.8,0.168
14180,78.9,0.174
14190,78.9,0.174
14200,79,0.169
14210,79.1,0.171
14220,79,0.175
14230,79.1,0.178
14240,79.2,0.167
14250,79.1,0.17
14260,79.2,0.17
14270,79.2,0.17
14280,79.2,0.173
14290,79,0.17
14300,79.2,0.174
14310,79,0.172
14320,79.1,0.176
14330,78.9,0.172
14340,78.9,0.176
14350,79.1,0.17
14360,79.1,0.171
14370,79.1,0.175
14380,79.2,0.171
14390,79.2,0.169
14400,79.2,0.169
14410,79.2,0.169
14420,79.4,0.168
14430,79.3,0.174
14440,79.3,0.17
14450,79.4,0.168
14460,79.4,0.171
14470,79.3,0.17
14480,79.2,0.173
14490,79.3,0.177
14500,79.3,0.169
14510,79.2,0.176
14520,79.2,0.175
14530,79.2,0.176
14540,79.2,0.173
14550,79.2,0.172
14560,79.3,0.177
14570,79.2,0.174
14580,79.2,0.173
14590,79.3,0.173
14600,79.3,0.176
14610,79.3,0.173
14620,79.3,0.176
14630,79.3,0.171
14640,79.3,0.173
14650,79.2,0.174
14660,79.2,0.173
14670,79.2,0.174
14680,79.1,0.174
14690,78.9,0.176
14700,79,0.173
14710,79,0.174
14720,78.9,0.175
14730,78.9,0.174
14740,78.9,0.174
14750,78.9,0.172
14760,78.9,0.173
14770,78.9,0.176
14780,79,0.171
14790,79.1,0.178
14800,79.2,0.178
14810,79,0.174
14820,79,0.176
14830,79,0.171
14840,78.9,0.172
14850,78.9,0.18
14860,78.9,0.176
14870,78.9,0.174
14880,78.8,0.173
14890,78.8,0.177
14900,78.7,0.174
14910,78.8,0.175
14920,78.7,0.176
14930,78.7,0.178
14940,78.8,0.178
14950,78.8,0.175
14960,78.8,0.179
14970,78.9,0.175
14980,78.9,0.175
14990,78.8,0.175
15000,78.8,0.176
15010,78.8,0.175
15020,78.8,0.174
15030,78.8,0.176
15040,78.9,0.175
15050,78.8,0.17
15060,78.8,0.175
15070,78.7,0.178
15080,78.7,0.176
15090,78.6,0.175
15100,78.6,0.173
15110,78.5,0.177
15120,78.5,0.174
15130,78.7,0.174
15140,78.6,0.18
15150,78.7,0.174
15160,78.7,0.174
15170,78.7,0.174
15180,78.7,0.174
15190,78.7,0.176
15200,78.7,0.18
15210,78.7,0.171
15220,78.8,0.174
15230,78.6,0.177
15240,78.6,0.175
15250,78.6,0.173
15260,78.5,0.171
15270,78.5,0.176
15280,78.5,0.174
15290,78.6,0.174
15300,78.6,0.174
15310,78.6,0.174
15320,78.6,0.179
15330,78.7,0.176
15340,78.7,0.174
15350,78.9,0.175
15360,78.9,0.179
15370,78.7,0.174
15380,78.8,0.172
15390,78.8,0.175
15400,78.8,0.181
15410,78.8,0.179
15420,78.8,0.175
15430,78.8,0.173
15440,78.7,0.177
15450,78.7,0.175
15460,78.7,0.171
15470,78.7,0.172
15480,78.7,0.171
15490,78.8,0.173
15500,78.9,0.178
15510,78.9,0.173
15520,79,0.172
15530,79.1,0.171
15540,79.2,0.173
15550,79.2,0.171
15560,79.2,0.176
15570,79.3,0.177
15580,79.1,0.174
15590,79.3,0.177
15600,79.3,0.173
15610,79.3,0.174
15620,79.1,0.172
15630,79.2,0.174
15640,79.1,0.175
15650,79.1,0.175
15660,79,0.172
15670,79.1,0.173
15680,79.1,0.174
15690,79.2,0.173
15700,79.3,0.174
15710,79.2,0.174
15720,79.2,0.179
15730,79.3,0.173
15740,79.3,0.178
15750,79.3,0.176
15760,79.4,0.172
15770,79.4,0.173
15780,79.4,0.175
15790,79.4,0.171
15800,79.3,0.175
15810,79.3,0.18
15820,79.3,0.176
15830,79.2,0.18
15840,79.3,0.177
15850,79.2,0.172
15860,79.2,0.174
15870,79.2,0.178
15880,79.2,0.175
15890,79.4,0.173
15900,79.3,0.174
15910,79.3,0.18
15920,79.4,0.177
15930,79.3,0.181
15940,79.4,0.179
15950,79.4,0.177
15960,79.3,0.177
15970,79.3,0.175
15980,79.3,0.176
15990,79.3,0.174
16000,79.3,0.176
16010,79.2,0.173
16020,79.1,0.173
16030,79.1,0.18
16040,79.1,0.177
16050,79.1,0.176
16060,79.1,0.177
16070,79.2,0.179
16080,79.2,0.177
16090,79.3,0.175
16100,79.3,0.178
16110,79.4,0.177
16120,79.3,0.181
16130,79.3,0.174
16140,79.3,0.175
16150,79.4,0.184
16160,79.3,0.178
16170,79.3,0.182
16180,79.2,0.178
16190,79.1,0.174
16200,79.1,0.176
16210,79.1,0.176
16220,79.1,0.175
16230,79.1,0.178
16240,79.1,0.179
16250,79.1,0.177
16260,79.2,0.178
16270,79.2,0.181
16280,79.2,0.175
16290,79.2,0.179
16300,79.2,0.177
16310,79.2,0.177
16320,79.3,0.181
16330,79.3,0.183
16340,79.2,0.178
16350,79.2,0.175
16360,79.1,0.182
16370,79.1,0.176
16380,79.1,0.183
16390,79,0.177
16400,79,0.18
16410,79,0.178
16420,78.9,0.183
16430,78.9,0.178
16440,79,0.176
16450,79,0.176
16460,79.1,0.178
16470,79.1,0.179
16480,79.1,0.176
16490,79.3,0.18
16500,79.2,0.175
16510,79.1,0.174
16520,79.2,0.179
16530,79.1,0.178
16540,79.2,0.178
16550,79.3,0.178
16560,79.1,0.179
16570,78.9,0.174
16580,79.1,0.178
16590,79.1,0.179
16600,79,0.183
16610,79,0.18
16620,79,0.177
16630,79.1,0.177
16640,79.2,0.178
16650,79.2,0.177
16660,79.3,0.176
16670,79.2,0.178
16680,79.3,0.177
16690,79.3,0.182
16700,79.4,0.18
16710,79.4,0.178
16720,79.3,0.178
16730,79.4,0.179
16740,79.3,0.176
16750,79.3,0.184
16760,79.3,0.177
16770,79.3,0.176
16780,79.2,0.182
16790,79.2,0.175
16800,79.2,0.174
16810,79.2,0.177
16820,79.2,0.178
16830,79.3,0.178
16840,79.2,0.181
16850,79.2,0.176
16860,79.4,0.177
16870,79.4,0.176
16880,79.5,0.176
16890,79.5,0.177
16900,79.4,0.174
16910,79.6,0.18
16920,79.4,0.178
16930,79.4,0.177
16940,79.5,0.176
16950,79.4,0.18
16960,79.4,0.177
16970,79.4,0.181
16980,79.4,0.178
16990,79.4,0.177
17000,79.4,0.185
17010,79.4,0.177
17020,79.5,0.178
17030,79.5,0.177
17040,79.5,0.178
17050,79.5,0.18
17060,79.6,0.178
17070,79.7,0.176
17080,79.7,0.175
17090,79.7,0.177
17100,79.8,0.181
17110,79.7,0.178
17120,79.9,0.178
17130,79.6,0.182
17140,79.7,0.178
17150,79.7,0.179
17160,79.6,0.191
17170,79.5,0.18
17180,79.5,0.179
17190,79.5,0.177
17200,79.6,0.175
17210,79.6,0.181
17220,79.7,0.177
17230,79.7,0.176
17240,79.7,0.178
17250,79.7,0.177
17260,79.7,0.178
17270,79.8,0.175
17280,79.8,0.177
17290,79.8,0.181
17300,79.7,0.18
17310,79.7,0.176
17320,79.7,0.178
17330,79.7,0.176
17340,79.6,0.176
17350,79.6,0.179
17360,79.6,0.179
17370,79.4,0.184
17380,79.4,0.179
17390,79.5,0.179
17400,79.4,0.177
17410,79.6,0.185
17420,79.5,0.18
17430,79.6,0.177
17440,79.7,0.18
17450,79.7,0.175
17460,79.7,0.187
17470,79.6,0.189
17480,79.7,0.18
17490,79.6,0.178
17500,79.6,0.178
17510,79.6,0.179
17520,79.6,0.179
17530,79.6,0.184
17540,79.4,0.179
17550,79.5,0.18
17560,79.4,0.179
17570,79.4,0.179
17580,79.5,0.192
17590,79.4,0.182
17600,79.6,0.181
17610,79.5,0.181
17620,79.6,0.178
17630,79.7,0.178
17640,79.6,0.183
17650,79.7,0.182
17660,79.8,0.178
17670,79.6,0.182
17680,79.6,0.18
17690,79.7,0.182
17700,79.6,0.18
17710,79.7,0.181
17720,79.6,0.178
17730,79.6,0.181
17740,79.5,0.182
17750,79.5,0.184
17760,79.5,0.179
17770,79.3,0.178
17780,79.5,0.184
17790,79.6,0.175
17800,79.7,0.18
17810,79.7,0.18
17820,79.6,0.179
17830,79.7,0.182
17840,79.7,0.179
17850,79.8,0.181
17860,79.7,0.18
17870,79.7,0.179
17880,79.9,0.181
17890,79.8,0.184
17900,79.8,0.177
17910,79.7,0.177
17920,79.7,0.182
17930,79.6,0.18
17940,79.6,0.187
17950,79.6,0.181
17960,79.5,0.18
17970,79.5,0.178
17980,79.6,0.18
17990,79.6,0.18
18000,79.6,0.184
18010,79.6,0.189
18020,79.8,0.179
18030,79.7,0.182
18040,79.7,0.183
18050,79.8,0.181
18060,79.7,0.186
18070,79.8,0.18
18080,79.8,0.186
18090,79.8,0.183
18100,79.7,0.184
18110,79.8,0.187
18120,79.7,0.18
18130,79.7,0.185
18140,79.6,0.185
18150,79.5,0.183
18160,79.5,0.186
18170,79.7,0.177
18180,79.8,0.18
18190,79.6,0.179
18200,79.8,0.178
18210,79.8,0.182
18220,79.9,0.18
18230,79.9,0.186
18240,79.9,0.181
18250,80.1,0.181
18260,79.9,0.181
18270,80,0.18
18280,79.9,0.181
18290,80,0.185
18300,79.8,0.18
18310,79.9,0.179
18320,79.9,0.183
18330,79.7,0.185
18340,79.8,0.181
18350,79.8,0.184
18360,79.9,0.181
18370,79.9,0.186
18380,80,0.18
18390,80,0.181
18400,80,0.189
18410,80,0.181
18420,80,0.186
18430,80,0.184
18440,80.1,0.183
18450,80.1,0.182
18460,80.1,0.181
18470,80.1,0.181
18480,80,0.177
18490,79.8,0.18
18500,80,0.179
18510,79.8,0.182
18520,79.6,0.181
18530,79.8,0.187
18540,79.8,0.184
18550,79.7,0.183
18560,79.9,0.179
18570,79.9,0.185
18580,79.8,0.181
18590,79.9,0.18
18600,79.9,0.181
18610,79.9,0.186
18620,79.9,0.183
18630,80,0.19
18640,79.9,0.183
18650,79.7,0.183
18660,79.9,0.179
18670,79.9,0.187
18680,79.7,0.182
18690,79.8,0.179
18700,79.7,0.186
18710,79.8,0.18
18720,79.7,0.186
18730,79.6,0.181
18740,79.7,0.183
18750,79.7,0.183
18760,79.8,0.179
18770,79.8,0.19
18780,79.9,0.185
18790,79.9,0.189
18800,79.9,0.182
18810,79.9,0.18
18820,79.8,0.182
18830,79.9,0.182
18840,80,0.181
18850,79.8,0.182
18860,79.8,0.183
18870,79.8,0.181
18880,79.7,0.186
18890,79.7,0.179
18900,79.7,0.182
18910,79.6,0.182
18920,79.5,0.186
18930,79.6,0.181
18940,79.6,0.185
18950,79.8,0.186
18960,79.8,0.183
18970,79.9,0.185
18980,79.9,0.189
18990,79.9,0.178
19000,79.9,0.182
19010,80,0.182
19020,79.8,0.182
19030,80,0.18
19040,80,0.188
19050,79.9,0.187
19060,79.9,0.18
19070,79.8,0.188
19080,79.8,0.187
19090,79.7,0.185
19100,79.7,0.181
19110,79.6,0.181
19120,79.7,0.183
19130,79.8,0.181
19140,79.7,0.179
19150,79.8,0.19
19160,79.7,0.179
19170,79.8,0.186
19180,79.9,0.186
19190,79.9,0.184
19200,80,0.18
19210,80,0.182
19220,80,0.186
19230,80.1,0.18
19240,80,0.179
19250,80,0.182
19260,79.9,0.182
19270,79.9,0.183
19280,79.9,0.18
19290,79.6,0.18
19300,79.9,0.186
19310,79.9,0.185
19320,79.9,0.177
19330,79.9,0.181
19340,80,0.179
19350,79.9,0.18
19360,80.1,0.184
19370,80.1,0.185
19380,80.1,0.186
19390,80.1,0.186
19400,80.1,0.182
19410,80.1,0.187
19420,80.1,0.18
19430,80,0.181
19440,80.1,0.182
19450,80.1,0.188
19460,80,0.18
19470,79.8,0.181
19480,79.9,0.187
19490,79.9,0.179
19500,79.9,0.183
19510,79.9,0.18
19520,79.9,0.181
19530,79.9,0.185
19540,80,0.183
19550,80.1,0.183
19560,80.1,0.182
19570,80.1,0.178
19580,80.2,0.178
19590,80.2,0.184
19600,80.1,0.186
19610,80.3,0.18
19620,80.2,0.186
19630,80,0.185
19640,80.2,0.181
19650,80.1,0.182
19660,80,0.19
19670,79.9,0.183
19680,80,0.184
19690,80.1,0.181
19700,80,0.185
19710,80.2,0.18
19720,80.2,0.183
19730,80.2,0.179
19740,80.2,0.185
19750,80.4,0.182
19760,80.3,0.184
19770,80.3,0.184
19780,80.4,0.184
19790,80.4,0.19
19800,80.3,0.181
19810,80.3,0.182
19820,80.3,0.182
19830,80.3,0.183
19840,80.2,0.178
19850,80.1,0.181
19860,80.1,0.179
19870,80.1,0.185
19880,80.1,0.18
19890,80.1,0.185
19900,80.2,0.184
19910,80.2,0.183
19920,80.3,0.182
19930,80.3,0.184
19940,80.4,0.184
19950,80.4,0.184
19960,80.1,0.186
19970,80.3,0.185
19980,80.4,0.189
19990,80.3,0.184
20000,80.4,0.184
20010,80.2,0.185
20020,80.3,0.18
20030,80.2,0.184
20040,80.2,0.182
20050,80,0.19
20060,80,0.191
20070,80,0.189
20080,79.9,0.185
20090,80.1,0.184
20100,80.1,0.186
20110,80.1,0.186
20120,80.3,0.184
20130,80.3,0.183
20140,80.3,0.183
20150,80.2,0.195
20160,80.2,0.184
20170,80.3,0.184
20180,80.2,0.184
20190,80.1,0.179
20200,80.1,0.183
20210,80,0.185
20220,80.1,0.184
20230,80.1,0.183
20240,79.9,0.183
20250,79.8,0.187
20260,79.9,0.19
20270,80,0.185
20280,79.9,0.182
20290,80,0.183
20300,80,0.185
20310,80.2,0.18
20320,80.1,0.189
20330,80,0.188
20340,80.1,0.18
20350,80.1,0.186
20360,80.2,0.183
20370,80.2,0.185
20380,80.1,0.183
20390,80.1,0.185
20400,80.2,0.187
20410,80.1,0.187
20420,79.9,0.185
20430,80,0.187
20440,79.9,0.185
20450,79.8,0.185
20460,80,0.185
20470,80,0.181
20480,79.9,0.191
20490,80,0.194
20500,80.2,0.19
20510,80.2,0.185
20520,80.1,0.18
20530,80.1,0.184
20540,80.2,0.187
20550,80.2,0.182
20560,80.2,0.184
20570,80.2,0.185
20580,80.2,0.185
20590,79.9,0.193
20600,80.1,0.178
20610,80,0.189
20620,80,0.184
20630,79.9,0.184
20640,80,0.189
20650,80,0.186
20660,80,0.185
20670,80,0.189
20680,80.2,0.188
20690,80.2,0.186
20700,80.2,0.186
20710,80.2,0.19
20720,80.3,0.191
20730,80.2,0.181
20740,80.2,0.179
20750,80.2,0.186
20760,80.2,0.183
20770,80.2,0.184
20780,80.1,0.184
20790,80.1,0.182
20800,80,0.186
20810,80,0.188
20820,80,0.191
20830,80,0.19
20840,80,0.18
20850,80,0.19
20860,80.1,0.187
20870,80.2,0.189
20880,80.3,0.185
20890,80.3,0.186
20900,80.3,0.184
20910,80.5,0.184
20920,80.3,0.182
20930,80.4,0.188
20940,80.4,0.191
20950,80.3,0.193
20960,80.4,0.188
20970,80.5,0.183
20980,80.5,0.185
20990,80.4,0.184
21000,80.4,0.184
21010,80.4,0.186
21020,80.5,0.184
21030,80.5,0.182
21040,80.2,0.18
21050,80.5,0.186
21060,80.5,0.186
21070,80.6,0.185
21080,80.8,0.185
21090,80.8,0.186
21100,80.9,0.187
21110,80.6,0.182
21120,80.9,0.182
21130,80.7,0.185
21140,80.6,0.186
21150,80.8,0.187
21160,80.7,0.189
21170,80.7,0.19
21180,80.6,0.189
21190,80.5,0.182
21200,80.5,0.185
21210,80.4,0.187
21220,80.4,0.183
21230,80.4,0.183
21240,80.5,0.185
21250,80.4,0.183
21260,80.6,0.188
21270,80.5,0.194
21280,80.4,0.193
21290,80.6,0.187
21300,80.7,0.191
21310,80.5,0.188
21320,80.6,0.2
21330,80.6,0.187
21340,80.4,0.184
21350,80.4,0.188
21360,80.5,0.191
21370,80.3,0.189
21380,80.3,0.189
21390,80.3,0.194
21400,80.2,0.192
21410,80.1,0.181
21420,80.2,0.188
21430,80.1,0.187
21440,80.3,0.19
21450,80.4,0.188
21460,80.2,0.185
21470,80.3,0.188
21480,80.3,0.186
21490,80.4,0.189
21500,80.4,0.191
21510,80.5,0.183
21520,80.3,0.189
21530,80.3,0.189
21540,80.2,0.188
21550,80.2,0.184
21560,80.3,0.191
21570,80.1,0.179
21580,79.9,0.19
21590,80.1,0.185
21600,79.9,0.191
21610,79.8,0.185
21620,80.1,0.186
21630,80.1,0.19
21640,80.1,0.193
21650,80,0.193
21660,80.2,0.19
21670,80.3,0.187
21680,80.3,0.186
21690,80.4,0.19
21700,80.2,0.183
21710,80.3,0.19
21720,80,0.187
21730,80.2,0.186
21740,80.2,0.189
21750,80.1,0.19
21760,80.1,0.186
21770,80.1,0.189
21780,80,0.183
21790,79.9,0.188
21800,80.1,0.187
21810,80.2,0.186
21820,80.1,0.193
21830,80.3,0.191
21840,80.4,0.191
21850,80.3,0.183
21860,80.2,0.185
21870,80.3,0.188
21880,80.5,0.198
21890,80.3,0.189
21900,80.4,0.197
21910,80.4,0.182
21920,80.4,0.189
21930,80.2,0.194
21940,80.2,0.188
21950,80.2,0.189
21960,80.2,0.183
21970,80,0.185
21980,80,0.192
21990,80.1,0.187
22000,80.1,0.193
22010,80,0.193
22020,80.2,0.192
22030,80.3,0.188
22040,80.2,0.185
22050,80.3,0.191
22060,80.6,0.183
22070,80.6,0.184
22080,80.6,0.184
22090,80.6,0.191
22100,80.6,0.189
22110,80.6,0.189
22120,80.6,0.182
22130,80.6,0.194
22140,80.6,0.185
22150,80.3,0.191
22160,80.5,0.191
22170,80.3,0.189
22180,80.4,0.191
22190,80.3,0.203
22200,80.4,0.193
22210,80.5,0.189
22220,80.4,0.19
22230,80.6,0.189
22240,80.7,0.19
22250,80.7,0.188
22260,80.8,0.185
22270,80.9,0.196
22280,80.9,0.195
22290,80.9,0.18
22300,80.8,0.194
22310,80.6,0.189
22320,80.8,0.185
22330,80.8,0.183
22340,80.7,0.19
22350,80.5,0.189
22360,80.6,0.19
22370,80.7,0.192
22380,80.5,0.174
22390,80.3,0.191
22400,80.5,0.193
22410,80.6,0.189
22420,80.7,0.192
22430,80.8,0.183
22440,80.6,0.19
22450,80.8,0.183
22460,80.9,0.191
22470,80.7,0.186
22480,80.7,0.188
22490,80.9,0.188
22500,80.8,0.192
22510,80.5,0.19
22520,80.7,0.187
22530,80.8,0.185
22540,80.5,0.193
22550,80.3,0.196
22560,80.5,0.193
22570,80.4,0.19
22580,80.4,0.189
22590,80.4,0.191
22600,80.5,0.189
22610,80.3,0.188
22620,80.4,0.198
22630,80.6,0.194
22640,80.5,0.195
22650,80.5,0.184
22660,80.8,0.192
22670,80.7,0.185
22680,80.5,0.193
22690,80.5,0.194
22700,80.6,0.184
22710,80.5,0.193
22720,80.3,0.191
22730,80.3,0.185
22740,80.2,0.188
22750,80.2,0.195
22760,80.2,0.195
22770,80.2,0.192
22780,80.3,0.186
22790,80.1,0.192
22800,80.3,0.184
22810,80.3,0.192
22820,80.4,0.19
22830,80.5,0.197
22840,80.6,0.19
22850,80.3,0.193
22860,80.5,0.193
22870,80.6,0.189
22880,80.6,0.2
22890,80.3,0.186
22900,80.3,0.193
22910,80.4,0.193
22920,80.3,0.193
22930,80.1,0.198
22940,80.1,0.19
