Time (s),Temperature (C),Position (m)
3020,68.3,0.152
3030,68.3,0.158
3040,68.2,0.152
3050,68.2,0.151
3060,68.4,0.159
3070,68.3,0.154
3080,68.4,0.152
3090,68.4,0.154
3100,68.4,0.157
3110,68.4,0.157
3120,68.4,0.152
3130,68.5,0.151
3140,68.5,0.157
3150,68.5,0.155
3160,68.5,0.157
3170,68.5,0.148
3180,68.5,0.152
3190,68.6,0.154
3200,68.6,0.153
3210,68.5,0.154
3220,68.6,0.152
3230,68.7,0.154
3240,68.6,0.157
3250,68.5,0.151
3260,68.5,0.151
3270,68.6,0.153
3280,68.6,0.149
3290,68.6,0.151
3300,68.7,0.157
3310,68.6,0.155
3320,68.7,0.152
3330,68.8,0.156
3340,68.9,0.151
3350,68.9,0.158
3360,68.8,0.154
3370,68.9,0.157
3380,68.9,0.154
3390,69,0.153
3400,69,0.154
3410,69,0.155
3420,69,0.153
3430,68.9,0.153
3440,69,0.151
3450,69,0.158
3460,68.9,0.159
3470,68.9,0.159
3480,68.9,0.151
3490,68.9,0.199
3500,68.9,0.154
3510,68.9,0.151
3520,68.9,0.157
3530,69,0.159
3540,69,0.152
3550,69,0.155
3560,69.1,0.149
3570,69.1,0.154
3580,69.1,0.154
3590,69.1,0.158
3600,69.1,0.153
3610,69.2,0.154
3620,69.1,0.155
3630,69.2,0.157
3640,69.2,0.154
3650,69.1,0.154
3660,69.1,0.153
3670,69.1,0.154
3680,69.1,0.153
3690,69.1,0.16
3700,69.1,0.156
3710,69,0.159
3720,69,0.156
3730,69,0.151
3740,69,0.155
3750,69,0.154
3760,69.1,0.159
3770,69.1,0.153
3780,69.1,0.158
3790,69.1,0.155
3800,69.1,0.153
3810,69.1,0.153
3820,69.1,0.156
3830,69.2,0.153
3840,69.2,0.159
3850,69.1,0.154
3860,69.2,0.159
3870,69.2,0.155
3880,69.1,0.157
3890,69.1,0.153
3900,69.1,0.157
3910,69,0.157
3920,69,0.157
3930,69,0.155
3940,69,0.157
3950,69.1,0.153
3960,69,0.161
3970,69,0.156
3980,69,0.154
3990,69.1,0.155
4000,69.1,0.159
4010,69.1,0.156
4020,69.2,0.155
4030,69.2,0.152
4040,69.1,0.161
4050,69.2,0.16
4060,69.1,0.16
4070,69.1,0.155
4080,69.2,0.16
4090,69.1,0.154
4100,69,0.154
4110,69.1,0.155
4120,69.1,0.162
4130,69,0.156
4140,69,0.159
4150,69,0.158
4160,69,0.16
4170,69,0.156
4180,69,0.155
4190,69,0.156
4200,69,0.159
4210,69.1,0.156
4220,69.1,0.158
4230,69,0.155
4240,69,0.156
4250,69.1,0.155
4260,69.2,0.153
4270,69.2,0.157
4280,69.2,0.154
4290,69.2,0.153
4300,69.2,0.16
4310,69.2,0.155
4320,69.1,0.156
4330,69,0.156
4340,69.1,0.156
4350,69.2,0.154
